page,municipality,title,amount_text,source,status
area/tokyo/kunitachi/seido/1646,kunitachi,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/chiyoda/seido/1618,chiyoda,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/chuo/seido/462,chuo,妊婦健康診査,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/suginami/seido/1613,suginami,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/hinode/seido/1659,hinode,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/oshima/seido/1661,oshima,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/meguro/seido/1623,meguro,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/adachi/seido/1629,adachi,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/mizuho/seido/1658,mizuho,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/machida/seido/1637,machida,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/hamura/seido/1655,hamura,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/kozushima/seido/1666,kozushima,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/fuchu/seido/1645,fuchu,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/sumida/seido/1621,sumida,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/hinohara/seido/1663,hinohara,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/higashiyamato/seido/1649,higashiyamato,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
