page,amount_text,note
area/tokyo/chofu/seido/1390,公正証書等作成支援／養育費保証契約支援 各1回上限5万円,万円表記の取りこぼし回収
area/tokyo/sumida/seido/444,購入・レンタル費用の上限10万円（全対象品目共通）,万円表記の取りこぼし回収
area/tokyo/sumida/seido/240,太陽光発電1kWあたり5万円（上限20万円）／蓄電池上限5万円／V2H製品費25%（上限40万円）／充電設備工事費80%（上限7.5万円／基）／燃料電池工事費10%（上限5万円）／直管型LED工事費50%（戸建上限3万円・分譲マンション15万円）,万円表記の取りこぼし回収
area/tokyo/hinohara/seido/2884,太陽光（既存住宅）15万円/kW（3kW以下上限45万円）／蓄電池15万円/kWh（上限120万円/戸）／パワコン更新1/2（上限10万円/台）／V2H1/2（上限50万円）／太陽熱1/2（上限55万円/戸）／地中熱3/5（上限180万円/台）,万円表記の取りこぼし回収
area/tokyo/taito/seido/756,LED改修50%上限75万円／太陽光5万円/kW上限20-50万円／蓄電池1万円/kWh上限10万円／エネファーム14万円/台／断熱改修20%上限15万円 等,万円表記の取りこぼし回収
area/tokyo/tachikawa/seido/1044,一般・特定一般：受講費用の60%上限20万円／専門実践：60%上限（修業年数×40万円）,万円表記の取りこぼし回収
area/tokyo/nakano/seido/730,補助率3/4、上限3万円,万円表記の取りこぼし回収
area/tokyo/niijima/seido/2961,改修等：補助率80%上限500万円／伐開：補助率50%上限50万円,万円表記の取りこぼし回収
area/tokyo/koganei/seido/1006,補助対象者一人当たり上限5万円（公正証書等作成経費または養育費保証契約締結経費のいずれか一区分につき）,万円表記の取りこぼし回収
area/tokyo/koganei/seido/1005,教育訓練給付金：受講料の60%（上限20万円）／専門実践教育訓練：最大85%（上限60万円×修業年数）／高等職業訓練促進給付金：課税状況により支給額が異なる,万円表記の取りこぼし回収
area/tokyo/ota/seido/638,70歳未満 区分別212万円／141万円／67万円／60万円／34万円・70〜74歳 212万円／141万円／67万円／56万円／31万円／19万円,万円表記の取りこぼし回収
area/tokyo/meguro/seido/327,所得区分別（70歳未満212万～34万円、70歳以上212万～19万円）／年額,万円表記の取りこぼし回収
area/tokyo/adachi/seido/255,7万円,万円表記の取りこぼし回収
area/tokyo/setagaya/seido/2921,緊急小口資金 貸付限度額10万円（借入理由により低くなる場合あり）,万円表記の取りこぼし回収
area/tokyo/sumida/seido/2934,応急小口資金 上限20万円（無利子）、ひとり親家庭福祉応急小口資金 上限5万円,万円表記の取りこぼし回収
area/tokyo/shibuya/seido/344,70歳未満区分別 年間限度額 ア212万円／イ141万円／ウ67万円／エ60万円／オ34万円,万円表記の取りこぼし回収
area/tokyo/nakano/seido/214,年間限度額 現役3:212万円／現役2:141万円／現役1:67万円／一般:56万円／区分2:31万円／区分1:19万円,万円表記の取りこぼし回収
area/tokyo/higashimurayama/seido/2655,支給対象限度額 同一年度内10万円,万円表記の取りこぼし回収
area/tokyo/higashimurayama/seido/1196,支給限度額20万円,万円表記の取りこぼし回収
area/tokyo/chiyoda/seido/2149,融資額 子ども1人10万円～400万円／利率3.125%（令和8年度）,万円表記の取りこぼし回収
area/tokyo/kita/seido/2848,補助額 参加10人まで1食堂1万円/回（年24万円上限）／11-20人2万円（年48万円）／21-30人3万円（年72万円）／31人以上4万円（年96万円）,万円表記の取りこぼし回収
area/tokyo/kita/seido/2938,15万円以内（旅行・就職就学・生活必需品）／30万円以内（災害・冠婚葬祭・転居・更新）／40万円以内（治療費）,万円表記の取りこぼし回収
area/tokyo/kiyose/seido/1146,70歳未満 年額212万円／141万円／67万円／60万円／34万円（所得区分別）、70歳以上 212万円／141万円／67万円／56万円／31万円／19万円,万円表記の取りこぼし回収
area/tokyo/hachijo/seido/2957,定住支援金1世帯100万円＋18歳未満の帯同者1名につき100万円加算,万円表記の取りこぼし回収
