page,municipality,title,amount_text,fixed_amount,status,chunk
area/tokyo/okutama/seido/2569,okutama,奥多摩町 敬老祝い金（贈呈）,PDF（高齢者支援計画）本文テキスト抽出不可・検索でも金額特定できず,,fetch_failed,B
area/tokyo/okutama/seido/2479,okutama,奥多摩町配食サービス（介護保険市町村特別給付）,ページHTTP404・金額確認できず,,fetch_failed,B
area/tokyo/shinagawa/seido/2484,shinagawa,品川区高齢者地域配食サービス,PDFがHTTP404・具体的金額確認できず,,fetch_failed,B
area/tokyo/shinjuku/seido/2065,shinjuku,新宿区誕生祝い品・バースデーサポート事業,誕生祝い品＝木のおもちゃ等木工製品（7種から1つ選択）＋絵本ガイドブック／バースデーサポート（電子カタログ、令和5年4月1日以降出生）第1子6万円相当・第2子7万円相当・第3子以降8万円相当,60000,ok,B
area/tokyo/akishima/seido/2084,akishima,昭島市誕生祝記念品贈呈事業・バースデーサポートあきしま,誕生祝記念品（品物）／バースデーサポートあきしま＝ギフト券（育児用品・家電製品等に利用可、金額は公表なし）,,no_amount,B
area/tokyo/akishima/seido/2502,akishima,昭島市高齢者食事サービス,市公式ページHTTP404・社協ページHTTP403でアクセス不可、1食金額確認できず,,fetch_failed,B
area/tokyo/arakawa/seido/690,arakawa,配食見守りサービス,自己負担あり（配食事業者や食事内容による、具体的金額は案内PDF参照で本文に記載なし）,,no_amount,B
area/tokyo/taito/seido/2071,taito,台東区にぎやか家庭応援プラン（第3子以降の出産祝・入学祝の記念品）,出産祝・入学祝いずれも10 000円相当の記念品（こども商品券1000円×10枚／図書カード5000円×2枚／クオカード10000円×1枚から選択）,10000,ok,B
area/tokyo/taito/seido/2483,taito,台東区はつらつサービス（配食サービス／社協）,1食あたりの費用の記載なし（社協へ要問合せ）,,no_amount,B
area/tokyo/shibuya/seido/10,shibuya,ハッピーマザー出産助成金,助成額100 000円（加入健康保険の付加給付がある場合はその額を控除）,100000,ok,B
area/tokyo/tachikawa/seido/2498,tachikawa,立川市高齢者等配食サービス事業,お弁当の種類により自己負担額が異なる（具体的金額は配食メニュー資料参照で本文に記載なし）,,no_amount,B
area/tokyo/nakano/seido/2485,nakano,中野区お弁当・見守りサービス（高齢者配食）,登録配食事業者による（1食あたりの具体的金額の記載なし）,,no_amount,B
area/tokyo/kunitachi/seido/2491,kunitachi,国立市高齢者食事サービス,費用負担は配食事業者ごとに異なる（具体的金額の記載なし）,,no_amount,B
area/tokyo/kunitachi/seido/2518,kunitachi,国立市高齢者緊急通報システム,ページHTTP404・検索でも月額等の金額特定できず,,fetch_failed,B
area/tokyo/chiyoda/seido/2846,chiyoda,千代田区 高齢者食事支援サービス（配食・安否確認）,お弁当実費分 350～680円（区の1食350円補助後の自己負担額、弁当の種類により異なる）,,ok,B
area/tokyo/chiyoda/seido/1943,chiyoda,敬老祝金・祝品贈呈事業（長寿のお祝い）,100歳以上60 000円／95歳50 000円／90歳・88歳20 000円／80歳・77歳15 000円／96～99歳・91～94歳・85歳・75歳10 000円（別途100歳金杯・95歳銀杯の祝品）,60000,ok,B
area/tokyo/chuo/seido/2508,chuo,中央区緊急通報システム,月額使用料（固定電話型／無線型）課税世帯600円／900円・非課税世帯無料／450円・生活保護等無料／無料（火災・見守りセンサーは課税50円、非課税・生保無料）,,ok,B
area/tokyo/itabashi/seido/679,itabashi,高齢者等配食サービス事業,全額自己負担・費用は配食事業者ごとに異なる（具体的金額の記載なし）,,no_amount,B
area/tokyo/itabashi/seido/2523,itabashi,板橋区高齢者緊急通報システム（生活リズムセンサー型）,月額 住民税非課税世帯400円／課税世帯1 400円／生活保護・中国残留邦人等支援給付世帯無料（機器紛失・破損時は実費）,,ok,B
area/tokyo/kita/seido/2848,kita,北区 シニアふれあい食事会補助事業（高齢者食事サービス）,利用者1食あたりの負担額の記載なし（食堂への補助＝1食堂当たり1万円×実施回数等の補助基準のみ）,,no_amount,B
area/tokyo/koto/seido/687,koto,高齢者食事サービス,費用負担は各業者が定める金額（具体的金額の記載なし）,,no_amount,B
area/tokyo/oshima/seido/2538,oshima,大島町高齢者見守り事業・緊急連絡先登録,利用者負担額・費用の記載なし（無料/有料の明示なし）,,no_amount,B
area/tokyo/mizuho/seido/2101,mizuho,瑞穂町出産祝いの記念品贈呈,複数の記念品から希望する1点を贈呈（金額の記載なし）,,no_amount,B
area/tokyo/chofu/seido/2516,chofu,調布市高齢者緊急通報システム,利用料は無料（設置費・月額の内訳記載なし）,0,ok,B
area/tokyo/hamura/seido/2497,hamura,羽村市配食サービス,60歳以上対象で夕食を配達（1食あたりの具体的金額の記載なし）,,no_amount,B
area/tokyo/kozushima/seido/2689,kozushima,神津島村 出産費用助成（出産支援特別助成金・出産前後支援事業）,助成金の額は1回40 000円（母子健康手帳取得から出産までに最大5回支給）,40000,ok,B
area/tokyo/sumida/seido/686,sumida,高齢者配食みまもりサービス,1食あたりの利用者負担額は事業者によって異なる（具体的金額は案内・パンフ参照）,,no_amount,B
area/tokyo/hinohara/seido/2536,hinohara,檜原村高齢者みまもり事業（見守り）,利用者負担額・費用の記載なし,,no_amount,B
area/tokyo/hinohara/seido/2478,hinohara,檜原村配食サービス,配食サービスの1食あたりの費用の記載なし（在宅サービスセンターのデイ・訪問介護の説明のみ）,,no_amount,B
area/tokyo/hino/seido/2490,hino,日野市高齢者食事宅配（配食）サービス,費用は生活支援サービス一覧PDFに記載され本文に金額の記載なし,,no_amount,B
area/tokyo/miyake/seido/2103,miyake,三宅村子育て応援手当（出産祝・入学祝の応援手当）,出産応援手当80 000円／入学応援手当は居住期間に応じ10 000円（1年以上2年未満）～50 000円（5年以上）,80000,ok,B
area/tokyo/miyake/seido/2503,miyake,三宅村 高齢者配食サービス（安否確認）,当該ページに配食サービスの記載・金額なし,,no_amount,B
area/tokyo/higashiyamato/seido/2560,higashiyamato,東大和市 長寿祝金,例規ページHTTP404・関連ページ及び検索でも金額特定できず,,fetch_failed,B
area/tokyo/higashiyamato/seido/2493,higashiyamato,東大和市食事サービス,当該ページに食事サービスの自己負担額の記載なし,,no_amount,B
area/tokyo/toshima/seido/692,toshima,高齢者等配食事業,お弁当代金は自己負担・費用は配食事業者ごとに異なる（具体的金額の記載なし）,,no_amount,B
area/tokyo/nishitokyo/seido/2475,nishitokyo,高齢者見守り配食サービス,1食あたりの費用は案内PDF参照で本文に金額の記載なし,,no_amount,B
area/tokyo/inagi/seido/2852,inagi,稲城市 高齢者配食サービス（介護予防・日常生活支援総合事業）,家事援助サービス（配食等）の費用は介護予防ガイドブック掲載で本文に金額の記載なし,,no_amount,B
area/tokyo/inagi/seido/2531,inagi,稲城市緊急通報システム,利用者負担額・設置費・月額の具体的金額の記載なし,,no_amount,B
area/tokyo/mikurajima/seido/922,mikurajima,高齢者緊急通報システム,有料制度（機器設置費を別表基準で負担、生活保護世帯は電話使用料補助）だが別表の具体的金額は本文に記載なし,,no_amount,B
area/tokyo/nerima/seido/682,nerima,練馬区見守り配食事業,お弁当代は利用者の実費負担（具体的金額の記載なし）,,no_amount,B
area/tokyo/hachijo/seido/2571,hachijo,八丈町 敬老祝い金,PDF（高齢者保健福祉計画・第9期介護保険事業計画）本文テキスト抽出不可・検索でも金額特定できず,,fetch_failed,B
area/tokyo/hachijo/seido/2539,hachijo,八丈町高齢者緊急通報システム設置事業,PDF本文テキスト抽出不可・検索でも金額特定できず,,fetch_failed,B
area/tokyo/ogasawara/seido/2572,ogasawara,小笠原村 長寿祝品・米寿・白寿お祝い金,高齢者ページに長寿祝品・お祝い金の具体的金額の記載なし,,no_amount,B
area/tokyo/ogasawara/seido/1543,ogasawara,食事サービス事業,規則に週1回（毎土曜）夕食配食の記載のみで利用料・負担金の金額の規定なし,,no_amount,B
area/tokyo/ogasawara/seido/2943,ogasawara,小笠原村 高齢者集合住宅（緊急通報システム・見守り）,シルバーピア（緊急時呼出ベル等を備えた住宅）の記載のみで費用の具体的金額の記載なし,,no_amount,B
area/tokyo/komae/seido/2851,komae,狛江市 高齢者配食サービス（見守り・安否確認付き）,市の配食サービスは終了し宅配推奨事業者登録制度に移行、1食あたりの金額は公表なし,,no_amount,B
area/tokyo/katsushika/seido/248,katsushika,住宅設備改修費助成,"浴槽379,000円／流し台・洗面台156,000円／階段昇降機979,000円(本体)+353,000円(設置)、自己負担1〜3割",,ok,C
area/tokyo/ota/seido/2858,ota,大田区 障害者住宅改造・住宅改修助成（バリアフリー）,"小規模改修200,000円／中規模改修641,000円／屋内移動設備979,000円(本体)+353,000円(設置)、所得に応じ自己負担",,ok,C
area/tokyo/bunkyo/seido/2668,bunkyo,文京区 高齢者住宅設備等改造給付（設備改造）,"浴槽379,000円／便器106,000円／流し・洗面台156,000円、自己負担1〜3割",,ok,C
area/tokyo/higashikurume/seido/1264,higashikurume,介護保険住宅改修費支給,ページはPDF・申請書のみで具体的金額の記載なし,,no_amount,C
area/tokyo/aogashima/seido/2178,aogashima,青ヶ島村出身高校生の奨学金支給,src_url 404・検索でも公式金額確認できず,,fetch_failed,C
area/tokyo/aogashima/seido/904,aogashima,重度身体障害者住宅設備改善費給付,src_url 403（例規サイト）・金額取得不可,,fetch_failed,C
area/tokyo/musashimurayama/seido/1337,musashimurayama,介護保険住宅改修費支給,支給限度基準額20万円、自己負担1〜3割（市公式で確認・src_urlは404）,200000,ok,C
area/tokyo/ome/seido/3026,ome,青梅市 人間ドック受診料助成事業,"助成金額20,000円（受診料から差引）",20000,ok,C
area/tokyo/okutama/seido/1441,okutama,障害者住宅改造費用助成,工事費の一部を助成（所得制限あり・具体的金額の記載なし）,,no_amount,C
area/tokyo/okutama/seido/2745,okutama,奥多摩町 保育料・給食費 全額助成（子ども・子育て支援推進事業）,保育料全額助成・給食費全額助成（市公式で確認・src_urlは404）,,ok,C
area/tokyo/akiruno/seido/3048,akiruno,あきる野市 初回産科受診料助成金,初回産科受診費用を助成（具体的金額・上限の記載なし）,,no_amount,C
area/tokyo/akiruno/seido/1418,akiruno,高齢者自立支援住宅改修給付事業,"予防給付200,000円／浴槽379,000円／流し・洗面156,000円／便器106,000円、自己負担1〜3割",,ok,C
area/tokyo/kodaira/seido/1114,kodaira,住宅設備改善の給付,費用の原則1割を利用者負担・市が残りを負担（具体的上限額の記載なし）,,no_amount,C
area/tokyo/kodaira/seido/1103,kodaira,介護保険住宅改修費の支給,改修後の申請手続きページで具体的金額の記載なし,,no_amount,C
area/tokyo/arakawa/seido/243,arakawa,高齢者住宅改修給付事業,"予防給付上限20万円／浴槽379,000円／流し・洗面156,000円／便器106,000円／床新設35万円・手すり6万円等、自己負担1〜3割",,ok,C
area/tokyo/arakawa/seido/2862,arakawa,荒川区 障害者住宅設備改善費給付（バリアフリー住宅改修）,令和7年4月から18歳未満は自己負担分を無償化（給付上限額の具体額記載なし）,,no_amount,C
area/tokyo/taito/seido/226,taito,子育て世帯住宅リフォーム支援制度,対象工事費（税抜）の1/3・上限20万円,200000,ok,C
area/tokyo/taito/seido/224,taito,高齢者住宅改修給付,対象工事ごとに助成限度額あり（本ページに具体額の記載なし）,,no_amount,C
area/tokyo/shibuya/seido/2143,shibuya,渋谷区奨学資金の貸付,新規貸付は令和6年4月1日で終了（金額記載なし）,,no_amount,C
area/tokyo/tachikawa/seido/1034,tachikawa,高齢者自立支援住宅改修給付事業,"生活の質確保200,000円／浴槽379,000円／流し・洗面156,000円／便器106,000円、給付割合90%/80%/70%（所得別）",,ok,C
area/tokyo/nakano/seido/2155,nakano,中野区高等学校等入学支援金（進学支援給付）,"対象の子ども1人につき80,000円",80000,ok,C
area/tokyo/kunitachi/seido/964,kunitachi,高齢者自立支援住宅改修,"予防給付200,000円／浴槽379,000円／流し・洗面156,000円／便器106,000円、自己負担1〜3割",,ok,C
area/tokyo/kunitachi/seido/980,kunitachi,障害者住宅設備改善,住宅設備改善一覧表(PDF)に記載・本ページに具体額なし,,no_amount,C
area/tokyo/kunitachi/seido/3032,kunitachi,国立市 学校給食費の公費負担（無償化）,令和7年1月分より全児童・生徒の給食費を全額公費負担（無償化）,,ok,C
area/tokyo/higashimurayama/seido/1196,higashimurayama,介護保険住宅改修費支給,src_url 403でアクセス不可,,fetch_failed,C
area/tokyo/mitaka/seido/2877,mitaka,三鷹市 奨学金返還支援事業（奨学・進学支援）,建設・IT・ものづくり企業就職者向け奨学金返還サポート（具体的助成額の記載なし）,,no_amount,C
area/tokyo/mitaka/seido/998,mitaka,住宅設備改善費の給付,"利用者負担1割(ストマ・紙おむつ5%)・負担上限月額37,200円／小規模改修200,000円／中規模改修641,000円／屋内移動設備979,000円(本体)+353,000円(設置)",,ok,C
area/tokyo/musashino/seido/1081,musashino,高齢者住宅改修費給付,改修費用の1割〜3割を自己負担（上限額の具体的金額の記載なし）,,no_amount,C
area/tokyo/itabashi/seido/234,itabashi,高齢者住宅改修費助成事業（板橋区）,案内パンフレット(PDF)に記載・本ページに具体額なし,,no_amount,C
area/tokyo/kita/seido/2861,kita,北区 身体障害者住宅設備改善費の助成（バリアフリー住宅改修）,小規模・中規模・屋内移動設備の区分のみ記載・具体額なし,,no_amount,C
area/tokyo/kita/seido/263,kita,高齢者住宅改造費助成,助成対象額の1割〜3割が自己負担（具体的上限額の記載なし）,,no_amount,C
area/tokyo/suginami/seido/2144,suginami,杉並区奨学金の貸付,"月額:国公立17,000円以内／私立29,000円以内、入学準備金:国公立10万円以内／私立30万円以内、無利子",,ok,C
area/tokyo/koto/seido/2666,koto,江東区 高齢者住宅設備改修給付（介護保険外）,"予防給付200,000円／浴槽379,000円／流し・洗面156,000円／トイレ106,000円／階段昇降機800,000円、自己負担1〜3割",,ok,C
area/tokyo/hinode/seido/2743,hinode,日の出町 保育所5歳児クラスの給食費（副食費）無償化・多子世帯軽減,令和7年9月以降第1子から保育料無償化（副食費の具体額の記載なし）,,no_amount,C
area/tokyo/hinode/seido/1433,hinode,住宅改修給付（高齢者）,予防給付200千円(負担2割)／浴槽379千円／流し・洗面156千円／便器106千円(負担1〜2割)、生保世帯免除,,ok,C
area/tokyo/oshima/seido/1552,oshima,39歳までの無料健診,無料（39歳までの住民対象・問診/身体計測/血液検査等）,0,ok,C
area/tokyo/meguro/seido/206,meguro,住宅リフォーム資金助成,一般:工事費10%上限10万円／省エネ:20%上限20万円／アスベスト除去:10%上限20万円／バリアフリー:10%上限10万円,,ok,C
area/tokyo/edogawa/seido/2168,edogawa,江戸川区奨学資金（貸与型）,ページは外部制度案内のみで区奨学資金の具体額記載なし,,no_amount,C
area/tokyo/chofu/seido/2864,chofu,調布市 障害者居宅生活動作補助用具給付（住宅改修・バリアフリー改修）,対象品目の列挙のみ・具体的金額の記載なし,,no_amount,C
area/tokyo/fussa/seido/3034,fussa,福生市 学校給食費の無償化,"令和6年4月から全児童・生徒の給食費を全額公費負担（無償化前:小学校月5,300〜5,900円・中学校月6,800円）",,ok,C
area/tokyo/hamura/seido/1136,hamura,障害者（児）住宅設備改善費助成事業,小規模・中規模・屋内移動設備の区分のみ記載・具体額なし,,no_amount,C
area/tokyo/kozushima/seido/1478,kozushima,高齢者住宅改造費助成（負担金額減免）,"居室200,000円／浴槽379,000円／流し・洗面156,000円／便器106,000円、自己負担1割（非課税+老齢福祉年金は半額・生保免除）",,ok,C
area/tokyo/kozushima/seido/2175,kozushima,神津島村奨学資金貸付制度,"月額 大学:国公立31,000円/私立58,000円、短大:国公立25,000円/私立50,000円、大学院80,000円、高校:国公立17,000円/都立12,000円",,ok,C
area/tokyo/fuchu/seido/2158,fuchu,奨学金（奨学資金貸付金）,一括150万円以内・要返済（JASSO掲載情報・src_urlは404）,1500000,ok,C
area/tokyo/hino/seido/1030,hino,住宅設備改善費の給付,小規模・中規模・屋内移動設備の区分のみ記載・具体額なし,,no_amount,C
area/tokyo/toshimamura/seido/1560,toshimamura,住民健診・事業所健診・がん検診,金額・自己負担額の記載なし,,no_amount,C
area/tokyo/toshimamura/seido/2184,toshimamura,利島村奨学金制度（離島高校生修学支援）,制度の存在のみ記載・具体的金額の記載なし,,no_amount,C
area/tokyo/miyake/seido/2684,miyake,三宅村 高齢者住宅設備改修支援（段差解消・手すり）,個人負担は支給限度額の1割（限度額の具体額の記載なし）,,no_amount,C
area/tokyo/miyake/seido/2176,miyake,三宅村奨学資金貸付,貸付額は本人希望・家庭事情等で決定（具体的金額の記載なし）,,no_amount,C
area/tokyo/miyake/seido/1458,miyake,介護保険福祉用具購入費及び住宅改修費受領委任払制度,支給額は介護保険法の基準による（要綱内に具体額の記載なし）,,no_amount,C
area/tokyo/higashiyamato/seido/1213,higashiyamato,介護保険住宅改修費支給,申請手続きページで具体的金額・支給割合の記載なし,,no_amount,C
area/tokyo/toshima/seido/253,toshima,高齢者自立支援住宅改修助成事業,"予防的助成200,000円／浴槽379,000円／流し156,000円／便器106,000円、自己負担1〜3割",,ok,C
area/tokyo/inagi/seido/2033,inagi,稲城市カーボンニュートラル住宅設備等補助金,太陽光1kW2万円(上限8万円)／燃料電池定額2万円／蓄電池定額4万円／ペレットストーブ1/3(上限5万円)／FCV定額10万円／V2H3万円／断熱改修1/6(上限5万円),,ok,C
area/tokyo/inagi/seido/1168,inagi,介護保険住宅改修費支給,説明PDF・事業者向け様式のみで具体額の記載なし,,no_amount,C
area/tokyo/kiyose/seido/1157,kiyose,障害者住宅設備改善費の給付,小規模改修200千円／中規模改修641千円／屋内移動設備979千円(本体)+353千円(設置)、自己負担10%,,ok,C
area/tokyo/mikurajima/seido/1469,mikurajima,地域生活支援事業（日常生活用具・住宅改修費）,日常生活用具は応能負担（生保0円/非課税1 100円等）・住宅改修費の給付上限額の記載なし,,no_amount,C
area/tokyo/mikurajima/seido/2177,mikurajima,御蔵島村奨学資金貸付,"月額 大学等30,000円／高専・高校20,000円（国公私立の区分なし）",,ok,C
area/tokyo/hachijo/seido/2504,hachijo,八丈町 給食（配食）サービス（社協委託）,src_url 404・検索でも一食あたり金額確認できず,,fetch_failed,C
