page,benefit_content,status
area/tokyo/okutama/seido/1525,帯状疱疹ワクチン接種費用を助成（生ワクチン最大5000円／シングリックス1回最大10000円）。R8年度中に65・70・75歳等の特定年齢に達する方等が対象／R8.4.1〜R9.3.31。,ok
area/tokyo/okutama/seido/1443,段差解消やトイレ改修など要介護者が安全に生活できるよう行う住宅改修費を介護保険が支給（1人1軒20万円までで一度の給付）。要介護・要支援認定者が対象。,ok
area/tokyo/minato/seido/71,医療機関に宿泊し母体ケア（健康状態チェック）・乳児ケア（体重測定等）・育児相談・授乳指導を受けられる。産後4か月未満（施設により異なる）の母子が1泊2日〜6泊7日まで利用可。,ok
area/tokyo/minato/seido/105,乳房ケア・産後の体調相談・育児指導（授乳・沐浴等）を受けられ、デイサービスは食事提供を含む。1歳未満の乳児と母親が対象で1出産につきデイ6回・乳房ケア6回まで。,ok
area/tokyo/minato/seido/569,タクシー利用券を配付（1世帯当たり年24000円分／10月以降届出は12000円分）。港区に住民登録がある未就学児2人以上の多子世帯が対象。,ok
area/tokyo/akiruno/seido/1519,生ワクチンまたは不活化ワクチンの接種費用を助成（生4000円／不活化10000円を1回あたり）。R8年度中に65・70・75歳等となる方が対象で生1回・不活化2回まで／R8.4.1〜R9.3.31。,ok
area/tokyo/akiruno/seido/1413,ホームヘルパーの派遣により生活援助または子育て支援を受けられる。義務教育終了前の児童がいるひとり親家庭が対象で原則月12回以内（技能習得中は月24回以内）／所得に応じ自己負担。,ok
area/tokyo/akiruno/seido/1419,腰掛便座・入浴補助用具・スロープ・歩行支援用具・シルバーカー・電磁調理器・火災警報器・自動消火装置等の日常生活用具を給付。市内在住の在宅65歳以上が対象で給付は1回限り。,ok
area/tokyo/hachioji/seido/1341,入院中に支払ったおむつ代（月4400円まで）の8割を助成。65歳以上で要介護4または5・医療保険で30日以上継続入院・市民税非課税の方が対象／年3期各1回申請。,ok
area/tokyo/hachioji/seido/1340,スマートフォン本体購入費・充電器・契約手数料等に上限3万円を補助。指定店舗で初めてスマホを購入した65歳以上が対象で1人1台1回限り／R8.6.1〜R9.2.28。,ok
area/tokyo/hachioji/seido/1346,義肢・装具・車いす・補聴器など就労や日常生活を容易にする補装具費を支給（原則基準額の1割自己負担）。身体障害者手帳所持者等が対象で同一種目は耐用年数内1回限り。,ok
area/tokyo/hachioji/seido/1339,市が委託した業者が月1回自宅に紙おむつを配達（現物給付）。65歳以上で要介護1以上の認定を受け世帯全員が非課税の在宅高齢者が対象。,ok
area/tokyo/hachioji/seido/1344,初任者研修・実務者研修・介護福祉士資格の取得費用を補助（初任者最大10万円／実務者最大15万円／介護福祉士最大6万円等）。市内介護事業所に3か月以上継続勤務した方が対象。,ok
area/tokyo/kodaira/seido/1104,改修工事完了の翌年度、改修家屋全体の固定資産税を1/3減額（100㎡相当分まで）。築10年以上・工事費50万円超・65歳以上や要介護/要支援・障害者が居住する住宅が対象で1回限り。,ok
area/tokyo/kodaira/seido/1516,ビケン（生）は4000円、シングリックス（不活化）は1回ごとに10000円を助成。R8年度中に65・70・75歳等となる市内在住者が対象で該当年度のみ1度限り／R8.4.1〜R9.3.31。,ok
area/tokyo/kodaira/seido/1103,要支援・要介護認定者が事前申請のうえ行った住宅改修（段差解消等）の費用を介護保険が支給（領収証と改修後写真の確認後に給付／具体的支給額はページ記載なし）。,ok
area/tokyo/shinagawa/seido/536,宿泊して母体・赤ちゃんの健康状態チェック・育児相談・授乳指導など産後の母体管理・生活面の指導を受けられる。区に住民登録がある産後5カ月未満の母子が対象で最大7日・分割利用可。,ok
area/tokyo/shinagawa/seido/147,契約医療機関でMR（麻しん・風しん混合）ワクチンの任意接種を無料で受けられる（最大2回）。2歳から19歳未満で定期接種の対象年齢を過ぎた方が対象。,ok
area/tokyo/shinagawa/seido/513,預かり保育料の一部を補助（年少〜年長は月上限11300円／満3歳児16300円／課税世帯の0〜2歳児42000円）。満3〜5歳児で保育の必要性認定を受けた保護者が対象。,ok
area/tokyo/shinagawa/seido/117,がん等の治療による外見変化に対応するウィッグや胸部補整具等の購入・レンタル費用を最大10万円助成。区に住民登録がある方が購入日から1年以内に申請でき生涯2回まで。,ok
area/tokyo/shinagawa/seido/582,前年所得が一定額以下や退職の場合に保険料の全額または一部（3/4・半額・1/4）免除の相談・手続きを受けられ、学生納付特例や50歳未満向け納付猶予制度も利用可。低所得世帯員・失業者・学生等が対象。,ok
area/tokyo/shinjuku/seido/563,タクシー移動に使える「こども商品券」を1世帯あたり24000円分支給。区に住民登録があり満3歳未満の多胎児を養育する保護者が対象で0・1・2歳の各年齢で1回ずつ申請可。,ok
area/tokyo/shinjuku/seido/427,風しん麻しん抗体検査を無料で受けられ、抗体価が低い場合はMRワクチンまたは単体ワクチンの接種費用を助成（自己負担5210〜3140円）。妊娠を希望する女性とその配偶者・パートナー・同居者が対象。,ok
area/tokyo/shinjuku/seido/1485,帯状疱疹ワクチン接種費用を助成し自己負担で接種できる（生ワクチン1回・不活化ワクチン最大2回）。定期接種は年度内65歳等の節目年齢、任意接種は50歳以上の区民が対象。,ok
area/tokyo/shinjuku/seido/665,介護施設入所・ショートステイ利用時の居住費(滞在費)と食費の自己負担を軽減。区市町村民税非課税かつ預貯金が一定額以下の世帯が負担限度額認定申請で所得段階に応じ軽減される。,ok
area/tokyo/akishima/seido/1073,在宅の障害者に日常生活の利便のための用具（視覚障害者用誘導装置・活字文書読上げ装置・ストマ用装具等）を現物給付。身体障害者手帳・療育手帳所持者や指定難病患者が対象で、種目ごとに耐用年数が設定される。,ok
area/tokyo/akishima/seido/1069,ひとり親家庭が養育費の取り決めに要した公正証書作成費・家裁申立費や保証会社との保証料を上限5万円補助。取り決め手続き完了から6カ月以内に申請、過去受給者は対象外。,ok
area/tokyo/akishima/seido/1072,身体障害者に義肢・装具・車いす・補聴器・矯正眼鏡等の補装具の交付および修理を提供。判定により交付が認められた者が対象で、購入前の申請が必須（購入後の助成不可）。,ok
area/tokyo/arakawa/seido/1507,帯状疱疹ワクチン（生ワクチン1回または不活化ワクチン2回）の接種費用を一部助成し自己負担で接種できる。令和9年3月末時点で65・70・75・80・85・90・95・100歳の区民等が対象、対象年度に一人一度のみ。,ok
area/tokyo/arakawa/seido/690,栄養バランスの取れた昼食の宅配とあわせて安否確認を行う配食見守り（週1〜7食）に加え、緊急通報システムの機器貸与や民生委員の訪問相談も提供。65歳以上でひとり暮らし・日中独居等の自立生活に不安のある方が対象。,ok
area/tokyo/arakawa/seido/503,"ベビーシッター利用料の一部を補助（日中最大2,500円/時、夜間最大3,500円/時）。未就学児1人年度144時間まで（障害児・ひとり親・多胎児は288時間）。",ok
area/tokyo/taito/seido/443,麻しん抗体検査と予防接種（MRまたは麻しん単独ワクチン1回）を無料で受けられる。満19歳以上の区民と区内未就学児施設職員が対象、令和8年7月15日〜令和9年3月末に各1回。,ok
area/tokyo/taito/seido/199,常時紙おむつを使用する対象者に、現物配送・購入補助券・おむつ代のいずれかで毎月継続支給。要介護認定者または入院中の65歳以上が対象、申請月の翌月から開始。,ok
area/tokyo/taito/seido/535,産後1年未満の母子が助産師等から育児指導や育児不安の軽減支援を受けられる（宿泊型・日帰り型を選択）。区に住民登録がある方が対象で、1回の出産につき合計7日まで利用可。,ok
area/tokyo/taito/seido/647,生計困難と認められた低所得者について、介護サービス費の利用者負担・食費・居住費を4分の1（老齢福祉年金受給者は2分の1）軽減。年間収入150万円以下（2人世帯200万円以下）等の要件がある。,ok
area/tokyo/shibuya/seido/25,要支援者は介護予防サービス、要介護者は入浴・排泄・食事等の日常生活支援の介護サービスを利用でき、ケアプランは介護支援専門員が無料で作成。要支援・要介護認定を受けた65歳以上等が対象。,ok
area/tokyo/shibuya/seido/703,歩行困難な重度心身障がい者にタクシー券を毎月交付（300円券9枚・100円券8枚）し、運賃1割引後の残額支払いに利用できる。身体1・2級、特定3級、愛の手帳1・2度、精神1級の所持者が対象。,ok
area/tokyo/shibuya/seido/1506,帯状疱疹ワクチン接種費用を一部助成（生ワクチン1回・不活化ワクチン2回分）。区内に住民票のある50歳以上で過去に区の助成未利用者が対象、生涯1度のみ・区内契約医療機関で接種。,ok
area/tokyo/shibuya/seido/499,東京都認定ベビーシッター利用料の一部を補助（24時間365日対象）。0〜6歳の未就学児（障がい児は12歳まで）が対象で、年度最大144時間（多胎児・障がい児・ひとり親は288時間）。,ok
area/tokyo/shibuya/seido/47,高齢者に浴槽・キッチン設備の取替えや階段昇降機の設置等、生活動作を支援する住宅改修工事を給付。65歳以上で要介護・要支援認定を受け日常動作に困難がある人が対象。,ok
area/tokyo/shibuya/seido/688,栄養バランスの取れた食事を届けるとともに安否確認を行う配食サービス（1日1食まで）。75歳以上や要支援・要介護認定を受けた方等が対象。,ok
area/tokyo/shibuya/seido/1497,"安全基準を満たす自転車用ヘルメット購入時に1人1個まで最大2,000円を補助。区民が対象、令和8年4月〜令和9年3月に1回限り（予定1,000個に達し次第終了）。",ok
area/tokyo/nakano/seido/1488,帯状疱疹予防接種費用を一部助成（ビケン1回・シングリックス最大2回）。接種日時点で区に住む50〜64歳で過去に本制度未利用者が対象、令和9年3月末で終了。,ok
area/tokyo/nakano/seido/486,"認定ベビーシッター派遣事業者の保育サービス利用料の一部を補助（昼間上限2,500円/時、夜間3,500円/時）。区在住で0歳〜就学前児を育てる保護者が対象、年間144時間まで（多胎児等は288時間）。",ok
area/tokyo/kunitachi/seido/979,身体障害者手帳・愛の手帳所持者等に日常生活を容易にするための用具を給付。所得が一定額以下の対象者向けで、品目ごとに耐用年数があり事前相談が必須（購入後の助成不可）。,ok
area/tokyo/kunitachi/seido/978,身体障害者手帳所持者や特定難病患者に、義肢・装具・補聴器・車椅子等17種類の補装具の交付・借受・修理費用を支給。児童向けの座位保持椅子等4種もある。,ok
area/tokyo/niijima/seido/863,"出産前後の健診受診のための現地滞在の宿泊費を一部助成（出産前は1回最大5,000円/泊を8回まで、出産後は最大2,000円/泊を30泊まで）。村に居住し母子手帳取得から出産後1年までの妊産婦が対象。",ok
area/tokyo/niijima/seido/911,"グループホーム入居者の家賃を月額12,000〜24,000円の範囲で助成（家賃額全額、特別給付費があれば控除）。月額所得97,000円未満の18歳以上の知的・身体障害者や指定難病患者が対象。",ok
area/tokyo/niijima/seido/1568,移住者向け賃貸住宅「テクラス住居棟」とコミュニティ施設を月額使用料3万円で提供（主要な修繕費は村が負担）。転入予定でおおむね60歳までの者が対象、使用期間は最長3年・更新不可。,ok
area/tokyo/higashimurayama/seido/1202,民間アパートに居住するひとり親家庭等に家賃の一部を補助。自己名義で賃貸契約し18歳到達年度末まで（障害児は20歳未満）の児童を養育し、所得が児童扶養手当の限度額未満の世帯が対象。都営・市営・UR・社宅等は対象外。,ok
area/tokyo/higashimurayama/seido/1206,障害者に日常生活を容易にするための用具を給付（拡大図書・DAISY図書等も対象品目に含む）。身体障害者手帳・療育手帳所持者や対象難病患者が対象。詳細品目は市窓口確認。,ok
area/tokyo/higashimurayama/seido/1203,日常生活に支障があるひとり親家庭にホームヘルパーを派遣し、日常生活の世話等のサービスを提供（所得により自己負担あり）。義務教育終了前の児童がいるひとり親家庭で、ひとり親となって2年以内等が対象。,ok
area/tokyo/chiyoda/seido/1484,帯状疱疹予防接種費用を助成（生ワクチン1回または不活化ワクチン2回を選択、定期接種は無料・任意接種は一部負担）。定期は65歳到達者等、任意は50歳以上が対象、令和8年4月〜令和9年3月。,ok
area/tokyo/chiyoda/seido/220,住宅・マンション共用部・事業所ビルでLED照明・太陽光発電・窓断熱等の省エネ機器改修費用の一部を補助。同一建物年度1回限り、令和9年2月15日まで（予算到達で受付一時終了）。,ok
area/tokyo/chiyoda/seido/421,指定医療機関で風しん抗体検査と（基準値未満の場合）予防接種（風しん単抗原またはMRワクチン）を無料で受けられる。19歳以上の妊娠予定女性やそのパートナー・同居家族、30〜50歳代男性等が対象、令和8年4月〜令和9年3月。,ok
area/tokyo/chiyoda/seido/198,カタログから選んだ紙おむつを毎月1回自宅に配達する現物支給（病院指定おむつ使用時は現金助成）。要介護1以上で常時紙おむつが必要な区民や入院中の65歳以上が対象、毎月5〜7日に配達。,ok
area/tokyo/chuo/seido/554,派遣ヘルパーが授乳・沐浴・おむつ交換等の育児と食事の支度・掃除・洗濯等の家事を支援。出産前〜出産後6カ月の乳児がいる家庭が対象で、1回の妊娠・出産につき15回（1回2〜3時間）まで、多胎児は回数増。,ok
area/tokyo/chuo/seido/104,区が発行する定期予防接種実施依頼書に基づき区外(23区外)医療機関で受けた予防接種の費用を助成（実費または助成上限額の少ない方）。里帰り等の子ども・妊婦が対象、有効期限は最大1年（高齢者の定期接種は対象外）。,ok
area/tokyo/chuo/seido/66,がん等による外見変化に対し、ウィッグ・帽子・補整下着・人工乳房・弾性着衣・冷却用キャップ等の購入またはレンタル費用を助成（1回上限10万円）。1人生涯2回まで。,ok
area/tokyo/chuo/seido/110,長期療養等で対象年齢内に定期予防接種を受けられなかった方が、医師の理由書に基づき一定期間内であれば定期接種として接種できる。特別事情終了から2年以内（高齢者向けワクチンは1年以内）に申請。,ok
area/tokyo/mitaka/seido/986,手すり取付け・段差解消等の住宅改修や浴槽・洗面台・便器の交換等の設備改修工事費用を給付。市内在住で要介護認定を受けた65歳以上が対象、申請は4月1日〜2月末日。,ok
area/tokyo/itabashi/seido/565,"タクシー移動に使える「こども商品券」24,000円分を送付。区民で3歳未満の多胎児を養育する保護者が対象、子の年齢ごと（0歳・1歳・2歳）に各1回申請可。",ok
area/tokyo/itabashi/seido/454,身体障害者手帳の対象とならない中等度難聴児の補聴器購入費を助成（基準額と比較し少ない額の9割、非課税・生活保護世帯は10割）。区内在住18歳未満が対象、原則片耳分（医師判断で両耳可）。,ok
area/tokyo/kita/seido/487,"ベビーシッター利用料を補助（昼間7〜22時は上限2,500円/時、夜間は3,500円/時）。区に住所がある保護者が対象、令和8年4月〜令和9年3月、子1人年度144時間まで（多胎児・障害児・ひとり親は288時間）。",ok
area/tokyo/kita/seido/196,"費用助成（現物支給ではない）。要介護3～5で常時失禁状態の高齢者が病院入院・入所中、月額6,000円を限度に紙おむつ代を助成（実費が6,000円未満なら実費分）。",ok
area/tokyo/kita/seido/441,麻しん・風しんワクチンを公費負担で無料接種（現物）。2歳から高校3年相当までで未罹患かつ規定回数未完了の子どもが対象。,ok
area/tokyo/kita/seido/556,ヘルパー・産後ドゥーラを派遣し、食事作り・洗濯・掃除などの家事支援と育児支援を提供。産前1か月から2歳（3歳前日）までの家庭が対象。,ok
area/tokyo/suginami/seido/541,宿泊型・日帰り型（個別/少人数）で母親のケア（健康チェック・疲労回復・乳房ケア）、赤ちゃんのケア、育児相談が受けられる。産後7か月未満、子1人につき最大10回（宿泊型は最大5回）。,ok
area/tokyo/suginami/seido/413,抗体検査は区内契約医療機関で全額助成（無料）、予防接種は妊娠希望女性は無料・同居者は一部自己負担。19～50歳の妊娠希望女性やその同居者で罹患歴・接種歴のない方が対象。,ok
area/tokyo/suginami/seido/13,"出生児の保護者に子育てサービスに使える応援券を交付。出生時は3万円分（小学生以下の3人目以降は3万5,000円分）。",ok
area/tokyo/suginami/seido/518,"東京都認定ベビーシッターの一時保育利用料を補助（日中上限2,500円/時、夜間3,500円/時）。未就学児等が対象で年度144時間まで（多胎は288時間）。",ok
area/tokyo/koto/seido/498,"都認定ベビーシッターの一時保育利用料を補助（7～22時は上限2,500円/時、22～翌7時は3,500円/時）。区内の未就学児の保護者が対象で年度144時間まで（多胎・障害児・ひとり親は288時間）。",ok
area/tokyo/koto/seido/567,"0～2歳の多胎児家庭に、母子保健事業利用時に使える24,000円分のタクシー券を年度1回支給。",ok
area/tokyo/koto/seido/229,"在宅者・持込可の入院者には紙おむつを毎月自宅等へ配送する現物支給、持込不可の入院者には月額7,500円を上限におむつ購入費を助成。",ok
area/tokyo/hinode/seido/1523,帯状疱疹ワクチン接種費用の一部を町が負担し自己負担を軽減。65歳・70～100歳の5歳刻み等が対象（生ワクチン1回、組換えワクチン2回）。,ok
area/tokyo/oshima/seido/1448,手すり取付・段差解消・床材変更・扉取替・便器の洋式化などの住宅改修費を給付。65歳以上で住宅改修が必要と認められる方が対象。,ok
area/tokyo/oshima/seido/1449,腰掛便座・入浴補助用具・簡易浴槽などの日常生活用具を給付（年間10万円限度）。65歳以上で介護保険非該当かつ日常生活の援助が必要な方が対象。,ok
area/tokyo/oshima/seido/1550,指定医療機関での風しん抗体検査・予防接種費用を無料で助成。19歳以上で妊娠希望の女性やその同居者等、接種・検査歴のない方が対象。,ok
area/tokyo/oshima/seido/1549,生ワクチン（ビケン）1回または不活化ワクチン（シングリックス）2回の接種費用の一部を町が助成。過去に接種歴のない65歳、経過措置で70～100歳の該当者が対象。,ok
area/tokyo/oshima/seido/891,"町営住宅（2LDK、59.3～85.0㎡、月額22,300～52,100円）に入居できる。町内に1年以上居住・勤務し同居親族がある収入基準内の世帯が対象、計8戸を随時募集。",ok
area/tokyo/oshima/seido/1551,おたふくかぜワクチン接種費用を全額助成（自己負担なし）。1歳～2歳（1回目）と就学前年度（2回目）の計2回。,ok
area/tokyo/oshima/seido/1554,"肺炎球菌ワクチン接種費用12,210円のうち7,810円を助成（自己負担4,400円）。65歳等で未接種の方が定期接種として1回。",ok
area/tokyo/meguro/seido/204,"現物支給。カタログからおむつ・尿取りパッド等を合計6,600円以内で選び毎月1回支給。65歳以上で要介護2～5の在宅者、または入院中の失禁状態の方が対象。",ok
area/tokyo/meguro/seido/113,区内民間賃貸住宅に住む18歳未満の子を扶養する世帯に、月額2万円の家賃を最長3年間助成。,ok
area/tokyo/meguro/seido/501,"ベビーシッター利用料を助成（日中7～22時は上限2,500円/時、夜間22～翌7時は3,500円/時）。0歳～満9歳年度末の児童が対象で年度144時間まで（多胎・障害児・ひとり親は288時間）。",ok
area/tokyo/meguro/seido/205,"入院中に購入した紙おむつ代を月額6,000円を限度に実費支給（費用助成）。65歳以上で区内在住・入院中の尿失禁状態の方が対象。",ok
area/tokyo/meguro/seido/114,"月額家賃の20％（世帯人数により月15,000～20,000円上限）を最長6年間助成。65歳以上の単身世帯や障害者世帯など特定世帯が対象。",ok
area/tokyo/meguro/seido/1508,生ワクチン（1回）または不活化ワクチン（2か月間隔で2回）を選択して接種。令和8年度に65歳・70～100歳の5歳刻みに該当する区民が対象。,ok
area/tokyo/edogawa/seido/1489,帯状疱疹ワクチン接種費用を助成（定期接種は特定年齢で1回、任意接種は50～65歳未満）。ビケン（生）1回またはシングリックス（不活化）2回を選択。,ok
area/tokyo/edogawa/seido/680,月～土（祝日除く）の昼食・夕食を自宅へ宅配。65歳以上の一人暮らしまたは65歳以上のみ世帯が対象で、一般食は週3食以上・特別食は週1回以上の利用。,ok
area/tokyo/adachi/seido/256,住宅改修（手すり取付・段差解消等、限度20万円）と特定福祉用具購入（腰掛便座・入浴補助用具等、年度10万円限度）の費用を自己負担分を除き支給。,ok
area/tokyo/adachi/seido/1492,消火器・住宅用火災警報器の購入費を上限まで補助（現物支給ではなく購入費補助）。区に住民登録のある世帯が対象（前年度受給世帯を除く）。,ok
area/tokyo/adachi/seido/506,"一時的なベビーシッター保育の利用料を補助（日中上限2,500円/時、夜間3,500円/時）。区内在住の保護者・児童が対象で未就学児は年度144時間まで（多胎は288時間）。",ok
area/tokyo/adachi/seido/257,窓・ガラス交換、内窓設置、断熱材、遮熱塗装、節水型トイレ交換などの省エネ工事費の1/3（上限5万円）を補助。工事着工前の申請が必要。,ok
area/tokyo/adachi/seido/1498,"対象店で3,000円以上の新品自転車用ヘルメットを3,000円引きで購入できる購入費助成（現物支給ではない）。区内在住者が1人1回限り。",ok
area/tokyo/mizuho/seido/1430,手すり取付・段差解消・床材変更・扉取替・便器取替などの住宅改修費を支給（同一住宅20万円が上限、自己負担分を除く）。,ok
area/tokyo/mizuho/seido/1427,"費用助成。紙おむつ・尿とりパッドを月5,000円分まで給付。65歳以上で在宅、6か月以上の寝たきりや失禁状態で常時おむつが必要な方が対象（生活保護受給者除く）。",ok
area/tokyo/mizuho/seido/1426,"契約業者から月5,000円を上限に紙おむつを給付する現物給付。3歳以上65歳未満で身体障害者手帳1・2級または愛の手帳1・2度所持者等、常時おむつ着用が必要な方が対象。",ok
area/tokyo/mizuho/seido/1524,"帯状疱疹ワクチン費用を助成（生ワクチン1回6,000円または不活化ワクチン2回で10,000円を限度）。定期接種は65・70～100歳の5歳刻み等、任意接種は50歳以上。生涯1種1回分のみ。",ok
area/tokyo/machida/seido/1362,在宅の身体障がい者に小規模改修（手すり取付等）・中規模改修（浴槽交換等）・屋内移動設備（天井リフト・階段昇降機）の費用を給付。学齢児以上65歳未満で下肢・体幹障がい1～3級等が対象。,ok
area/tokyo/machida/seido/1372,ホームヘルパーが訪問し家事・育児のサポートを提供（就職活動中や一時的な病気・出産時等に利用可）。ひとり親になって2年以内で環境が変化した方、就職活動中、疾病・出産の方等が対象。,ok
area/tokyo/chofu/seido/1382,自宅での単独入浴が困難な方の自宅へ週1回訪問入浴車を派遣し入浴サービスを行う。身体障害者手帳所持者が対象（要介護認定者は介護保険サービスが優先）。,ok
area/tokyo/chofu/seido/1379,"入院中に負担したおむつ代を月額10,000円を限度に助成（費用助成）。65歳以上で入院中の方が対象（生活保護世帯・介護保険適用施設入所者を除く）。",ok
area/tokyo/fussa/seido/1517,生ワクチン（1回）または組換え不活化ワクチン（2か月以上あけて2回）を選択して接種。令和8年度に65歳・70～100歳に該当する対象者が受けられる。,ok
area/tokyo/fussa/seido/1266,エアコンの購入・設置費用を助成（住民税非課税世帯等は上限10万円、生活保護受給世帯は本体費7万8千円上限）。使えるエアコンが無い低所得世帯（非課税・児童扶養手当・生活保護等）が対象。,ok
area/tokyo/hamura/seido/1134,義肢・装具・車椅子・補聴器などの補装具の購入費を支給する現物給付。身体障害者手帳保持者または特定難病患者が対象で、補装具ごとの耐用年数(1〜6年)内に原則1種目1個まで。,ok
area/tokyo/kozushima/seido/914,満100歳到達時に祝金50万円を現金支給。100歳到達の10年以上前から引き続き村内に住所を有する者が対象。,ok
area/tokyo/kozushima/seido/866,"出産に備えた島外での待機宿泊費(最大74泊、1泊2,000円)と里帰り往復交通費(最大148,000円の半額)を助成。平成30年4月1日以降に出産した者が対象で、出産後6か月以内に申請。",ok
area/tokyo/kozushima/seido/912,手すり取付・段差解消・床材変更・扉取替・浴槽/流し/便器取替など住宅改造工事費の9割を村が現物給付。村内在住のおおむね65歳以上で自己所有住宅に居住し改造が必要と認められる者が対象。,ok
area/tokyo/setagaya/seido/438,"要介護3〜5で失禁が2か月以上継続する在宅者に月1回自宅へ紙おむつを現物配達(自己負担月500円)。入院中の65歳以上または要介護3以上は月額5,000円限度のおむつ代助成を選択可。",ok
area/tokyo/setagaya/seido/484,ウィッグ・帽子・人工乳房・補整下着・弾性着衣・エピテーゼ・頭皮冷却キャップ等の購入/レンタル費用を上限10万円助成。がん治療等で外見変化のある区民が対象で生涯2回まで。,ok
area/tokyo/setagaya/seido/21,要介護・要支援認定の申請手続きから、認定後の居宅サービス・施設サービス利用までの流れを案内するもの。具体的サービス内容は関連ページ参照。,no_content
area/tokyo/setagaya/seido/507,"東京都認定ベビーシッター利用料の一部を補助(日中最大2,500円/時、夜間最大3,500円/時)。小学3年生までの児童の保護者が対象で年度内144時間まで(多胎児・障害児・ひとり親は288時間)。",ok
area/tokyo/setagaya/seido/695,タクシー券(500円券月5枚・100円券月14枚)を交付。身体障害者手帳(下肢等1〜3級、視覚1・2級)や愛の手帳1・2度の方が対象で、申請月から支給。,ok
area/tokyo/sumida/seido/514,"東京都認定ベビーシッターの利用料の一部を補助(日中1時間2,500円、夜間3,500円上限)。小学3年生まで(障害児は小6まで)の児童が対象で年度当たり144時間まで(障害児・ひとり親・多胎児は288時間)。",ok
area/tokyo/sumida/seido/239,手すり取付・段差解消・床材変更・扉取替・洋式便器化などの改修工事費を20万円限度に助成。65歳以上で要介護認定が非該当または未申請の方が対象、工事前の申込みが必要。,ok
