page,amount_text,source,status
area/tokyo/miyake/seido/915,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/higashiyamato/seido/1231,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/inagi/seido/1186,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/koganei/seido/1004,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準（所得制限あり）",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/aogashima/seido/880,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準（所得制限あり）",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/tachikawa/seido/1043,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準（所得制限あり）",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/meguro/seido/173,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準（所得制限あり）",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/setagaya/seido/694,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準（所得制限あり）",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/toshimamura/seido/918,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準（所得制限あり）",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/toshimamura/seido/2942,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準（所得制限あり）",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/mikurajima/seido/870,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準（所得制限あり）",東京都統一基準(自己負担上限),standard_tokyo
area/tokyo/ogasawara/seido/894,"課税世帯は医療費の1割負担（外来 月上限18,000円・年上限144,000円／入院を含む世帯 月上限57,600円・多数回該当は44,400円）、住民税非課税世帯は自己負担なし。※東京都の統一基準（所得制限あり）",東京都統一基準(自己負担上限),standard_tokyo
