page,amount_text,status
area/tokyo/taito/seido/746,購入・設置費用の3/4、上限6万円(補助対象経費上限8万円),ok
area/tokyo/taito/seido/340,,no_amount
area/tokyo/taito/seido/2760,,no_amount
area/tokyo/taito/seido/2358,,no_amount
area/tokyo/shibuya/seido/56,"生活援助・高齢者世帯援助 30分180円～2時間30分900円／外出介助(要介護)30分240円～2時間30分1,220円／生活保護受給者 無料",ok
area/tokyo/shibuya/seido/23,前年中の給与所得を30%にして保険料を計算,ok
area/tokyo/shibuya/seido/346,,no_amount
area/tokyo/shibuya/seido/2922,20万円以内(特別貸付は40万円以内),ok
area/tokyo/shibuya/seido/479,"0-2歳児 認証保育所 上限40,000円(基本)+40,000円(追加)／都内認可外(証明書あり)上限80,000円／3歳以上 認証保育所 上限40,000円(基本)+37,000円(追加)／都内認可外 上限77,000円",ok
area/tokyo/shibuya/seido/2350,,no_amount
area/tokyo/shibuya/seido/342,,no_amount
area/tokyo/shibuya/seido/739,,no_amount
area/tokyo/tachikawa/seido/1046,公正証書等作成経費 上限43 000円／養育費保証契約締結経費 上限50 000円,ok
area/tokyo/tachikawa/seido/1047,,no_amount
area/tokyo/tachikawa/seido/801,,no_amount
area/tokyo/nakano/seido/3003,登録料16 500円を補助（前年所得2 568 000円以下等の要件）,ok
area/tokyo/nakano/seido/298,,no_amount
area/tokyo/nakano/seido/734,1人1回限り 上限2 000円,ok
area/tokyo/nakano/seido/2763,,no_amount
area/tokyo/nakano/seido/2786,,no_amount
area/tokyo/nakano/seido/397,,no_amount
area/tokyo/kunitachi/seido/979,,no_amount
area/tokyo/kunitachi/seido/825,,no_amount
area/tokyo/kunitachi/seido/980,,no_amount
area/tokyo/niijima/seido/1567,,no_amount
area/tokyo/higashimurayama/seido/856,学用品費 小1:11 420円／小2-6:13 650円／中1:22 320円／中2-3:24 550円；入学準備金 小1:20 470円／中1:23 550円,ok
area/tokyo/higashimurayama/seido/1207,自己負担 原則1割（費用の1割）,ok
area/tokyo/chiyoda/seido/381,,no_amount
area/tokyo/chiyoda/seido/2927,,no_amount
area/tokyo/chiyoda/seido/2510,無料（負担費用なし）,ok
area/tokyo/chiyoda/seido/615,前年給与所得を100分の30とみなして保険料を算定,ok
area/tokyo/chiyoda/seido/511,私立幼稚園 施設等利用費 月額25 700円上限／園児保護者負担軽減 月額7 200円上限／副食費補足給付 月額4 800円上限／国立大学附属幼稚園 施設等利用費 月額8 700円上限,ok
area/tokyo/chiyoda/seido/2357,,no_amount
area/tokyo/chiyoda/seido/557,1時間あたり 生活保護・非課税0円／均等割のみ課税500円／その他1 000円,ok
area/tokyo/chuo/seido/719,,no_amount
area/tokyo/chuo/seido/2886,,no_amount
area/tokyo/mitaka/seido/805,,no_amount
area/tokyo/mitaka/seido/2932,,no_amount
area/tokyo/mitaka/seido/2950,課税世帯 1 000円/時（土日祝・時間外1 100円）／非課税・生保 最初20時間0円 以降500円/時（土日祝・時間外600円）,ok
area/tokyo/musashino/seido/1092,自己負担 無料／費用の5％／費用の10％（所得区分別）,ok
area/tokyo/musashino/seido/803,修学旅行費 上限10万円／高等学校等入学準備金 60 000円,ok
area/tokyo/musashino/seido/2931,療養資金 170万円を限度,ok
area/tokyo/musashino/seido/1080,住居確保給付金の月額（1人53 700円／2人64 000円／3-5人69 800円）と更新料のいずれか少ない額,ok
area/tokyo/itabashi/seido/429,購入・レンタル費用の合計 上限10万円（税込）,ok
area/tokyo/itabashi/seido/595,前年給与所得を100分の30とみなして算定,ok
area/tokyo/itabashi/seido/2366,,no_amount
area/tokyo/itabashi/seido/148,自家発電装置 上限212 000円／蓄電池 上限104 000円,ok
area/tokyo/itabashi/seido/279,,no_amount
area/tokyo/kita/seido/2364,新入学児童生徒学用品等購入費 小学校91 600円／中学校101 000円,ok
area/tokyo/kita/seido/441,,no_amount
area/tokyo/kita/seido/612,給与所得を30/100として保険料を算出,ok
area/tokyo/kita/seido/1502,,no_amount
area/tokyo/kita/seido/121,,no_amount
area/tokyo/kita/seido/556,1時間あたり 課税世帯1 000円／非課税世帯500円／生活保護世帯無料（子1人につき2時間まで無料）,ok
area/tokyo/suginami/seido/2923,,no_amount
area/tokyo/suginami/seido/60,,no_amount
area/tokyo/suginami/seido/49,,no_amount
area/tokyo/suginami/seido/2967,,no_amount
area/tokyo/koto/seido/544,1時間あたり500円（キャンセル料1000円）,ok
area/tokyo/koto/seido/357,,no_amount
area/tokyo/koto/seido/714,,no_amount
area/tokyo/koto/seido/390,,no_amount
area/tokyo/koto/seido/2355,,no_amount
area/tokyo/koto/seido/583,給与所得を100分の30として算定し保険料軽減,ok
area/tokyo/koto/seido/430,,no_amount
area/tokyo/hinode/seido/1435,,no_amount
area/tokyo/hinode/seido/2036,,no_amount
area/tokyo/hinode/seido/2718,1日2000円（日の出町・あきる野市・檜原村の児童）／1日4000円（その他の市町村の児童）,ok
area/tokyo/hinode/seido/2371,,no_amount
area/tokyo/hinode/seido/1434,,no_amount
area/tokyo/oshima/seido/891,差木地岳の平団地22300円～43800円／差木地クダッチ団地20800円～40800円／筆島団地26500円～52100円／波浮港山口第三団地21100円～41500円（収入により決定）,ok
area/tokyo/oshima/seido/2721,,no_amount
area/tokyo/oshima/seido/2374,,no_amount
area/tokyo/meguro/seido/593,給与所得を100分の30として算定し所得割額軽減,ok
area/tokyo/meguro/seido/2361,,fetch_failed
area/tokyo/meguro/seido/328,,no_amount
area/tokyo/meguro/seido/2936,,no_amount
area/tokyo/meguro/seido/2762,,no_amount
area/tokyo/edogawa/seido/400,,no_amount
area/tokyo/edogawa/seido/2768,,no_amount
area/tokyo/edogawa/seido/735,上限2000円/個（2000円未満は商品価格まで）,ok
area/tokyo/edogawa/seido/740,,no_amount
area/tokyo/edogawa/seido/355,,no_amount
area/tokyo/adachi/seido/417,,no_amount
area/tokyo/adachi/seido/2766,利用無料,ok
area/tokyo/adachi/seido/149,,no_amount
area/tokyo/adachi/seido/150,,no_amount
area/tokyo/adachi/seido/2367,,no_amount
area/tokyo/mizuho/seido/2883,,no_amount
area/tokyo/mizuho/seido/850,,no_amount
area/tokyo/machida/seido/1371,,fetch_failed
area/tokyo/machida/seido/2983,運賃の10%割引,ok
area/tokyo/machida/seido/2517,市税課税者:初期費用8943円／非課税者:負担なし,ok
area/tokyo/machida/seido/1360,原則1割自己負担,ok
area/tokyo/machida/seido/1372,,fetch_failed
area/tokyo/machida/seido/815,,fetch_failed
area/tokyo/chofu/seido/1389,,no_amount
area/tokyo/chofu/seido/2864,,no_amount
area/tokyo/fussa/seido/827,新入学学用品費 小学校57060円／中学校63000円、学用品費（年額）小学校1年13230円／小2-6年15500円／中学校1年25040円／中2-3年27310円,ok
area/tokyo/fussa/seido/1276,,no_amount
area/tokyo/fussa/seido/1268,,no_amount
area/tokyo/fussa/seido/1275,,no_amount
area/tokyo/fussa/seido/1284,,no_amount
area/tokyo/fussa/seido/1274,通信制:受講開始時 受講費用の40%（4千円～10万円上限）／受講修了時50%（～12万5千円上限）／合格時10%（合算15万円上限）　通学・併用:受講開始時40%（～20万円上限）／受講修了時50%（～25万円上限）／合格時10%（合算30万円上限）,ok
area/tokyo/fussa/seido/1267,,no_amount
area/tokyo/fussa/seido/1285,,no_amount
area/tokyo/hamura/seido/844,,no_amount
area/tokyo/hamura/seido/1129,,no_amount
area/tokyo/hamura/seido/1130,通信制：受講開始給付金40%相当（4千円～上限10万円）／修了時給付金50%相当（上限12万5千円）／合格時給付金10%相当（①②合算上限15万円）。通学・併用：受講開始給付金40%相当（上限20万円）／修了時給付金50%相当（上限25万円）／合格時給付金10%相当（①②合算上限30万円）,ok
area/tokyo/kozushima/seido/1477,,no_amount
area/tokyo/kozushima/seido/2377,,no_amount
area/tokyo/setagaya/seido/19,前年の給与所得を100分の30とみなして算定,ok
area/tokyo/setagaya/seido/738,,no_amount
area/tokyo/setagaya/seido/2963,"1セットあたり額面10,000円分（500円券14枚・100円券30枚）",ok
area/tokyo/setagaya/seido/2349,,no_amount
area/tokyo/setagaya/seido/729,"補助率10分の10（全額補助）、上限40,000円",ok
area/tokyo/fuchu/seido/2769,,no_amount
area/tokyo/sumida/seido/320,,no_amount
area/tokyo/sumida/seido/596,前年の給与所得を100分の30とみなして算定,ok
area/tokyo/sumida/seido/560,,no_amount
area/tokyo/sumida/seido/2359,,no_amount
area/tokyo/hinohara/seido/2719,,no_amount
area/tokyo/hinohara/seido/2372,,no_amount
area/tokyo/hinohara/seido/2795,補装具費：利用者負担は原則1割（住民税非課税世帯・生活保護世帯は負担なし）／日常生活用具給付・移動支援：自己負担は原則1割（世帯の所得に応じ上限設定）,ok
area/tokyo/hino/seido/1030,,no_amount
area/tokyo/hino/seido/1028,,no_amount
area/tokyo/hino/seido/821,,no_amount
area/tokyo/hino/seido/1026,"手数料支援の補助上限額25,000円",ok
area/tokyo/toshimamura/seido/2375,,no_amount
area/tokyo/toshimamura/seido/2796,,no_amount
area/tokyo/toshimamura/seido/1561,,no_amount
area/tokyo/toshimamura/seido/1563,,no_amount
area/tokyo/toshimamura/seido/920,,no_amount
area/tokyo/toshimamura/seido/921,,no_amount
area/tokyo/toshimamura/seido/1559,,no_amount
area/tokyo/toshimamura/seido/1558,,no_amount
area/tokyo/toshimamura/seido/1562,,no_amount
area/tokyo/miyake/seido/2378,,no_amount
area/tokyo/miyake/seido/2722,,no_amount
area/tokyo/miyake/seido/867,,no_amount
area/tokyo/miyake/seido/2958,,no_amount
area/tokyo/miyake/seido/868,,no_amount
area/tokyo/higashiyamato/seido/832,,no_amount
area/tokyo/higashiyamato/seido/1219,,no_amount
area/tokyo/higashiyamato/seido/1228,,no_amount
area/tokyo/higashiyamato/seido/1229,,no_amount
area/tokyo/higashiyamato/seido/1227,,no_amount
area/tokyo/higashiyamato/seido/1212,,no_amount
area/tokyo/higashiyamato/seido/2708,"0～2歳児（無償化補助未受給）：月額保育料の3分の1（月額上限21,000円）＋40,000円／0～2歳児（無償化補助受給・非課税世帯）：38,000円／3～5歳児（第2子以降）：40,000円",ok
area/tokyo/toshima/seido/2363,,no_amount
area/tokyo/toshima/seido/657,利用者負担額の4分の1を軽減（老齢福祉年金受給者は2分の1を軽減）,ok
area/tokyo/toshima/seido/331,,no_amount
area/tokyo/toshima/seido/2764,住居確保給付金：3か月を限度に家賃相当額（上限あり）を支給,ok
area/tokyo/toshima/seido/2937,記載なし（社協サイト参照）,no_amount
area/tokyo/toshima/seido/594,給与所得を100分の30とみなして算定,ok
area/tokyo/nishitokyo/seido/1292,記載なし（住居確保給付金の額の明記なし）,no_amount
area/tokyo/nishitokyo/seido/2988,家賃低廉化補助 上限4万円/月（1戸・最長120月）／バリアフリー改修 費用の3分の2・上限200万円（1戸50万円）／省エネ改修 上限100万円,ok
area/tokyo/nishitokyo/seido/848,記載なし,no_amount
area/tokyo/nishitokyo/seido/1301,記載なし（PDFリーフレット参照）,no_amount
area/tokyo/nishitokyo/seido/1300,生活保護・住民税非課税世帯0円／児童扶養手当支給水準150円／その他300円（1時間）,ok
area/tokyo/nishitokyo/seido/1311,購入費用（基準額を上限）の1割負担、非課税世帯は自己負担なし,ok
area/tokyo/inagi/seido/2097,こども商品券6万円分,ok
area/tokyo/inagi/seido/1181,記載なし（要問合せ）,no_amount
area/tokyo/inagi/seido/1182,記載なし（所得に応じた本人負担）,no_amount
area/tokyo/inagi/seido/842,記載なし,no_amount
area/tokyo/inagi/seido/1166,記載なし（社協要問合せ）,no_amount
area/tokyo/kiyose/seido/1155,就学支度資金 私立高校/国立大42万円・私立大59万円／修学資金 私立高校月額4.5万円・私立短大月額9.35万円・私立大月額10.85万円／就職支度資金10万円／[女性]技能習得資金月額6.8万円以内・医療34万円以内(特別48万円)・介護50万円以内,ok
area/tokyo/kiyose/seido/1151,利用料は記載なし（所得に応じた負担金）、キャンセル料1 860～2 325円,no_amount
area/tokyo/kiyose/seido/2370,ページ取得失敗（403）,fetch_failed
area/tokyo/kiyose/seido/1157,小規模改修 基準額20万円／中規模改修 基準額64.1万円／屋内移動設備 本体97.9万円・設置費35.3万円（いずれも自己負担1割）,ok
area/tokyo/kiyose/seido/1158,記載なし,no_amount
area/tokyo/mikurajima/seido/2215,記載なし（実施要項参照）,no_amount
area/tokyo/mikurajima/seido/1469,日常生活用具 応能負担（生活保護0円・非課税1 100円～最高全額負担）／住宅改修費 上限記載なし,ok
area/tokyo/mikurajima/seido/1468,記載なし（公営住宅法施行令により算定）,no_amount
area/tokyo/nerima/seido/35,全額・4分の3・半額・4分の1免除の4段階（月額記載なし）,ok
area/tokyo/nerima/seido/55,記載なし,no_amount
area/tokyo/nerima/seido/36,記載なし,no_amount
area/tokyo/nerima/seido/2352,記載なし（支給費目表PDF参照）,no_amount
area/tokyo/nerima/seido/2924,記載なし（社協サイト参照）,no_amount
area/tokyo/nerima/seido/548,1時間1 000円（低体重児出産・20歳未満出産・切迫早産等500円／多胎児300円／住民税非課税・生活保護世帯無料）,ok
area/tokyo/nerima/seido/741,水道 基本料金＋1月10立方メートルまでの従量料金相当額を免除／下水道 1月8立方メートルまでの料金を免除,ok
area/tokyo/nerima/seido/40,子1人あたり50万円,ok
area/tokyo/nerima/seido/670,施設居住費・食費 第1段階 居住費880円・食費300円/日等（段階別）／生計困難者 約4分の3に軽減（老齢福祉年金受給者 約2分の1）／訪問介護等 全額免除,ok
area/tokyo/nerima/seido/34,給与所得を100分の30に減じて算定,ok
area/tokyo/hachijo/seido/2798,記載なし（施行細則、金額基準の記載なし）,no_amount
area/tokyo/hachijo/seido/872,記載なし（定額支給、金額は別紙）,no_amount
area/tokyo/ogasawara/seido/2379,記載なし,no_amount
area/tokyo/ogasawara/seido/1542,記載なし,no_amount
area/tokyo/ogasawara/seido/1544,記載なし,no_amount
area/tokyo/ogasawara/seido/2799,PDF取得失敗（テキスト抽出不可）,fetch_failed
area/tokyo/komae/seido/1398,記載なし（こまえ子育てねっと参照）,no_amount
area/tokyo/komae/seido/1391,自己負担1割、負担上限月額 生活保護0円・市民税非課税0円・市民税課税世帯37 200円,ok
area/tokyo/komae/seido/1396,記載なし（別サイト参照）,no_amount
area/tokyo/komae/seido/830,ページ取得失敗（403）,fetch_failed
area/tokyo/komae/seido/1394,記載なし（東京都女性福祉資金参照）,no_amount
area/tokyo/kokubunji/seido/2771,記載なし（相談・就労・住居確保給付金等、額の明記なし）,no_amount
