page,municipality,title,amount_text,status,chunk
area/tokyo/aogashima/seido/1828,aogashima,帯状疱疹ワクチン予防接種費用助成,元URLが村トップページで金額を公式に確認できず,fetch_failed,H
area/tokyo/aogashima/seido/1480,aogashima,青ヶ島村 生活困窮者自立支援制度・住居確保給付金,都のページで家賃相当額を有期給付とのみ記載（具体的金額の記載なし）,no_amount,H
area/tokyo/musashimurayama/seido/1324,musashimurayama,ひとり親医療費助成制度,課税世帯：総医療費の1割と入院時食事代／外来月上限18000円・入院57600円（多数回44400円）／非課税世帯：入院時食事代のみ,found,H
area/tokyo/musashimurayama/seido/3050,musashimurayama,武蔵村山市 私立幼稚園保護者負担軽減補助金,在住在園期間・世帯所得に応じ入園料・保育料を限度に補助（具体的金額はパンフレット掲載で本ページに記載なし）,no_amount,H
area/tokyo/ome/seido/2750,ome,青梅市 保育料の第2子以降無償化（多子世帯軽減）・副食費,第1子・第2子以降とも保育料無償化（3～5歳児は0円）／副食費補助 ひと月当たり上限4900円,found,H
area/tokyo/ome/seido/1405,ome,心身障害者福祉手当（市制度）,月額8000円（区分による差なし一律）,found,H
area/tokyo/okutama/seido/785,okutama,乳幼児の医療費助成,保険適用分を全額助成,ok,I
area/tokyo/okutama/seido/3060,okutama,奥多摩町 若者定住応援住宅・いなか暮らし支援住宅,若者定住応援住宅：月額6000円～13000円／いなか暮らし支援住宅：年額1000円～40000円,ok,I
area/tokyo/okutama/seido/1441,okutama,障害者住宅改造費用助成,記載なし,no_amount,I
area/tokyo/okutama/seido/2569,okutama,奥多摩町 敬老祝い金（贈呈）,PDF解析不可,fetch_failed,I
area/tokyo/okutama/seido/1444,okutama,奥多摩町 住居確保給付金,src_url開けず・公式額不明,fetch_failed,I
area/tokyo/okutama/seido/2885,okutama,奥多摩町 空家等活用促進事業交付金（空き家活用助成）,上限200万円,ok,I
area/tokyo/okutama/seido/858,okutama,こども応援事業,小学校入学祝金3万円／中学校入学祝金5万円／高校生等応援支援金 年6万円（最大3年）／乳児おむつ購入費助成 上限6万円,ok,I
area/tokyo/okutama/seido/887,okutama,心身障害者医療費助成（マル障）,記載なし,no_amount,I
area/tokyo/okutama/seido/2142,okutama,奥多摩町 定住支援（家賃補助・転居費用補助）,src_url開けず,fetch_failed,I
area/tokyo/okutama/seido/2745,okutama,奥多摩町 保育料・給食費 全額助成（子ども・子育て支援推進事業）,保育料・給食費 全額助成,ok,I
area/tokyo/minato/seido/69,minato,妊娠高血圧症候群等の医療費助成,記載なし,no_amount,I
area/tokyo/minato/seido/736,minato,自転車乗車用ヘルメット購入費助成,2000円分（みなトクPAYポイント）,ok,I
area/tokyo/minato/seido/1924,minato,子ども医療費助成,記載なし,no_amount,I
area/tokyo/minato/seido/470,minato,認可外保育施設保育料助成,0～2歳児：月額上限100000円／3～5歳児：月額上限97000円,ok,I
area/tokyo/minato/seido/73,minato,小児慢性特定疾病医療費助成,記載なし,no_amount,I
area/tokyo/akiruno/seido/3048,akiruno,あきる野市 初回産科受診料助成金,記載なし,no_amount,I
area/tokyo/akiruno/seido/2630,akiruno,あきる野市 住居確保給付金,記載なし,no_amount,I
area/tokyo/akiruno/seido/1412,akiruno,児童育成手当（育成手当）,児童1人あたり月額13500円,ok,I
area/tokyo/hachioji/seido/1348,hachioji,心身障害者医療費助成制度（マル障）,外来：月18000円（年間上限144000円）／入院：月57600円（多数回44400円）,ok,I
area/tokyo/hachioji/seido/1350,hachioji,心身障害者福祉手当,月額15500円,ok,I
area/tokyo/hachioji/seido/2686,hachioji,八王子市 出産費用助成（入院助産等）,記載なし,no_amount,I
area/tokyo/hachioji/seido/2625,hachioji,八王子市 住居確保給付金,家賃補助（月額上限）単身53700円／2人64000円／3人以上69800円,ok,I
area/tokyo/kodaira/seido/1107,kodaira,児童育成手当（障害手当）,対象児童1人あたり月額15500円,ok,I
area/tokyo/kodaira/seido/1109,kodaira,母子家庭及び父子家庭 自立支援教育訓練給付金,補助率60%（一般教育訓練 上限20万円／専門実践教育訓練 上限160万円）,ok,I
area/tokyo/kodaira/seido/1110,kodaira,高等職業訓練促進給付金,記載なし,no_amount,I
area/tokyo/kodaira/seido/1106,kodaira,児童育成手当（育成手当）,対象児童1人あたり月額13500円,ok,I
area/tokyo/kodaira/seido/1111,kodaira,心身障害者医療費助成制度（マル障）,記載なし,no_amount,I
area/tokyo/kodaira/seido/1115,kodaira,小平市心身障害者福祉手当,記載なし,no_amount,I
area/tokyo/kodaira/seido/1098,kodaira,住居確保給付金（転居費用補助）,記載なし,no_amount,I
area/tokyo/shinagawa/seido/184,shinagawa,ひとり親家庭等医療費助成,非課税：0円（全額助成）／課税：1割（外来 月18000円・年144000円／入院 月57600円・多数回44400円）,ok,I
area/tokyo/shinagawa/seido/490,shinagawa,私立幼稚園入園料・保育料・特定負担額補助金,入園料 上限100000円／保育料 月額上限40000円／特定負担額 月額上限14300円,ok,I
area/tokyo/shinagawa/seido/559,shinagawa,産後家事育児支援訪問費助成事業（産後ドゥーラ）,プランニング1回1000円／支援サービス1時間2700円,ok,I
area/tokyo/shinagawa/seido/182,shinagawa,子どもすこやか医療費助成,保険診療の自己負担分を助成（窓口負担なし）,ok,I
area/tokyo/shinagawa/seido/577,shinagawa,転入届（別の自治体から品川区に引っ越したとき）,手続きページ（金額なし）,no_amount,I
area/tokyo/shinagawa/seido/2615,shinagawa,品川区 住居確保給付金の支給,家賃補助（月額上限）1人53700円／2人64000円／3人以上69800円,ok,I
area/tokyo/shinjuku/seido/83,shinjuku,子ども医療費助成,記載なし,no_amount,I
area/tokyo/shinjuku/seido/2608,shinjuku,新宿区 住居確保給付金の支給,記載なし,no_amount,I
area/tokyo/shinjuku/seido/2994,shinjuku,新宿区 高齢者等入居支援（家賃等債務保証料助成等）,記載なし,no_amount,I
area/tokyo/shinjuku/seido/494,shinjuku,私立幼稚園等の入園料・保育料等補助金申請,記載なし,no_amount,I
area/tokyo/shinjuku/seido/90,shinjuku,ひとり親家庭等医療費助成制度,課税：1割（外来 月18000円／世帯 月57600円／4回目以降44400円）／非課税：負担なし,ok,I
area/tokyo/shinjuku/seido/750,shinjuku,感震ブレーカー等設置費用助成,分電盤：3/4（上限6万円）／非課税世帯：5/6（上限7万5千円）／新築住宅：定額1万円,ok,I
area/tokyo/shinjuku/seido/91,shinjuku,高校生等医療費助成（マル青）,記載なし,no_amount,I
area/tokyo/shinjuku/seido/2065,shinjuku,新宿区誕生祝い品・バースデーサポート事業,記載なし（木のおもちゃ等の現物）,no_amount,I
area/tokyo/shinjuku/seido/2218,shinjuku,新宿区多世代近居同居助成,複数世帯：上限20万円／単身世帯：上限10万円,ok,I
area/tokyo/akishima/seido/2728,akishima,昭島市 認可保育所等に通う第2子以降の保育料無償化,第2子以降の保育料を無償化,ok,I
area/tokyo/akishima/seido/1063,akishima,児童育成手当（育成手当）,対象児童1人につき月額13500円,ok,I
area/tokyo/akishima/seido/1064,akishima,児童育成手当（障害手当）,対象児童1人につき月額15500円,ok,I
area/tokyo/akishima/seido/1056,akishima,住居確保給付金（転居費用補助）,記載なし,no_amount,I
area/tokyo/akishima/seido/1071,akishima,心身障害者医療費助成制度（マル障）,課税：1割（通院 月18000円・年144000円／入院 月57600円・多数回44400円）／非課税：負担なし,ok,I
area/tokyo/akishima/seido/1074,akishima,心身障害者福祉手当（都・市制度）,都手当：月額15500円／市手当：月額4000円,ok,I
area/tokyo/akishima/seido/2084,akishima,昭島市誕生祝記念品贈呈事業・バースデーサポートあきしま,記載なし,no_amount,I
area/tokyo/akishima/seido/1067,akishima,自立支援教育訓練給付金,受講料の60％（上限40万円、12 000円以下は対象外）,ok,J
area/tokyo/akishima/seido/1066,akishima,ひとり親家庭等医療費助成制度,非課税世帯：自己負担なし／課税世帯：1割（外来月18 000円・年144 000円、入院月57 600円）,ok,J
area/tokyo/arakawa/seido/472,arakawa,高齢者スマホ購入費助成金交付事業,上限30 000円（1人1回限り）,ok,J
area/tokyo/arakawa/seido/177,arakawa,ひとり親家庭医療費助成,課税世帯：1割（外来月18 000円・年144 000円、入院57 600円）／非課税世帯：自己負担なし,ok,J
area/tokyo/arakawa/seido/748,arakawa,住まいの防犯対策補助金交付制度,補助率1/2。上限：防犯対策品15 000円／録画機能付ドアホン17 000円／防犯カメラ30 000円／自動通話録音電話機5 000円／共同住宅5戸以下30 000円・6戸以上150 000円,ok,J
area/tokyo/arakawa/seido/449,arakawa,健康づくりの支援・助成,,no_amount,J
area/tokyo/arakawa/seido/377,arakawa,転入届,,no_amount,J
area/tokyo/arakawa/seido/154,arakawa,乳幼児・子ども・高校生等医療費助成,,no_amount,J
area/tokyo/arakawa/seido/503,arakawa,ベビーシッター利用支援事業（一時預かり利用支援）補助金,助成上限単価：日中2 500円/時、夜間3 500円/時（年144時間、障害児・ひとり親・多胎児は288時間）,ok,J
area/tokyo/taito/seido/602,taito,転入・転居・転出・世帯変更の届出,,no_amount,J
area/tokyo/taito/seido/466,taito,認証保育所等保育料助成制度,上限月額：0-2歳課税80 000円／0-2歳非課税38 000円（R8/10以降34 300円）／3-5歳40 000円（R8/10以降36 700円）,ok,J
area/tokyo/taito/seido/1945,taito,長寿のお祝い（満100歳到達者）,,no_amount,J
area/tokyo/taito/seido/512,taito,私立幼稚園等保護者補助金,保育料補助：都1 800～6 200円/月・区1 200～9 900円/月／預かり保育：月額最大16 300円（450円×利用日数）,ok,J
area/tokyo/taito/seido/167,taito,ひとり親家庭等医療費助成,課税世帯：1割（外来月18 000円、入院57 600円）／非課税世帯：自己負担なし,ok,J
area/tokyo/taito/seido/166,taito,子ども医療費助成,,no_amount,J
area/tokyo/taito/seido/756,taito,脱炭素推進助成金,LED改修50%上限75万円／太陽光5万円/kW上限20-50万円／蓄電池1万円/kWh上限10万円／エネファーム14万円/台／断熱改修20%上限15万円 等,ok,J
area/tokyo/shibuya/seido/3001,shibuya,渋谷区 休日保育利用料金助成,1時間あたり1 000円まで（1日10時間まで）、年間上限250 000円,ok,J
area/tokyo/shibuya/seido/8,shibuya,転入届（区外から渋谷区へ）,,no_amount,J
area/tokyo/shibuya/seido/2008,shibuya,再生可能エネルギー電力利用促進助成・EV充電設備導入助成 等,再生可能エネルギー電力利用促進助成（家庭向け）：30 000ハチペイポイント,ok,J
area/tokyo/shibuya/seido/7,shibuya,子ども医療費助成,,no_amount,J
area/tokyo/shibuya/seido/725,shibuya,ひとり親家庭の手当・助成,児童扶養手当（全部支給）1人48 050円・2人目以降11 350円加算／児童育成手当13 500円/月／医療費助成 課税1割・非課税自己負担なし,ok,J
area/tokyo/shibuya/seido/715,shibuya,心身障がい者の医療費助成,,no_amount,J
area/tokyo/shibuya/seido/2605,shibuya,渋谷区 住居確保給付金,転居費用上限：1人世帯279 200円／2人300 000円／3人324 000円／4人344 000円／5人364 000円,ok,J
area/tokyo/tachikawa/seido/1950,tachikawa,敬老金の贈呈,10 000円（88歳・99歳以上、一律）,ok,J
area/tokyo/tachikawa/seido/2853,tachikawa,立川市 雨水浸透施設設置費補助（住宅の雨水・環境設備助成）,上限200 000円（浸透ます250mm5万円・300mm5.9万円・350mm8万円等、付帯工事限度56 000円）,ok,J
area/tokyo/tachikawa/seido/1048,tachikawa,心身障害者医療費助成制度（マル障）,,no_amount,J
area/tokyo/tachikawa/seido/2985,tachikawa,立川市 子どもインフルエンザ任意接種助成,注射用HAワクチン：1回1 500円（1-2回）／経鼻生ワクチン：1回3 000円（1回）,ok,J
area/tokyo/tachikawa/seido/1037,tachikawa,住居確保給付金（家賃補助）,,no_amount,J
area/tokyo/tachikawa/seido/800,tachikawa,義務教育就学児医療費助成制度,,no_amount,J
area/tokyo/tachikawa/seido/1041,tachikawa,児童育成手当（育成手当）,1人13 500円/月,ok,J
area/tokyo/tachikawa/seido/1044,tachikawa,母子家庭及び父子家庭自立支援教育訓練給付金,一般・特定一般：受講費用の60%上限20万円／専門実践：60%上限（修業年数×40万円）,ok,J
area/tokyo/tachikawa/seido/1038,tachikawa,住居確保給付金（転居費用補助）,世帯別上限：1人279 200円／2人300 000円／3人324 000円／4人344 000円／5人364 000円／6人364 000円／7人以上388 000円,ok,J
area/tokyo/tachikawa/seido/1043,tachikawa,ひとり親家庭等医療費助成制度（マル親医療証）,,no_amount,J
area/tokyo/nakano/seido/730,nakano,住まいの防犯対策助成,補助率3/4、上限3万円,ok,J
area/tokyo/nakano/seido/162,nakano,児童育成手当,育成手当13 500円/月／障害手当15 500円/月,ok,J
area/tokyo/nakano/seido/366,nakano,転入届（区外から中野区へ）,,no_amount,J
area/tokyo/nakano/seido/720,nakano,ひとり親家庭等医療費助成制度（マル親）,課税世帯：1割（外来月18 000円・年144 000円、入院57 600円）／非課税世帯：自己負担なし,ok,J
area/tokyo/nakano/seido/161,nakano,子ども医療費助成制度,保険診療の自己負担分を全額公費助成（自己負担なし）,ok,J
area/tokyo/kunitachi/seido/968,kunitachi,住居確保給付金（転居費用補助）,,no_amount,J
area/tokyo/kunitachi/seido/824,kunitachi,こども医療費助成制度,小学生以上の通院：1回最大200円の一部負担（未就学児は負担なし）,ok,J
area/tokyo/kunitachi/seido/970,kunitachi,ひとり親家庭等の医療費助成制度,課税世帯：通院1割・入院自己負担なし／非課税世帯：自己負担なし,ok,J
area/tokyo/kunitachi/seido/3032,kunitachi,国立市 学校給食費の公費負担（無償化）,全額公費負担（無償）,ok,J
area/tokyo/kunitachi/seido/977,kunitachi,心身障害者医療費助成制度（マル障）,,no_amount,J
area/tokyo/niijima/seido/2688,niijima,新島村 出産費用助成（島外医療機関受診に係る交通費等の助成）,交通費1回25 000円×8回／出産宿泊費1回上限5 000円×8回／産後1か月健診までの宿泊費1泊上限2 000円×30日,ok,J
area/tokyo/niijima/seido/1473,niijima,新島村 生活困窮者自立支援制度・住居確保給付金,,no_amount,J
area/tokyo/niijima/seido/906,niijima,ひとり親家庭等の医療費助成,,no_amount,J
area/tokyo/niijima/seido/789,niijima,子ども医療費助成,保険診療の自己負担分なし（無料）,ok,J
area/tokyo/niijima/seido/1823,niijima,帯状疱疹ワクチン予防接種費用助成,,fetch_failed,J
area/tokyo/niijima/seido/2961,niijima,新島村 定住化対策事業交付金（空き家改修・除却等）,改修等：補助率80%上限500万円／伐開：補助率50%上限50万円,ok,J
area/tokyo/niijima/seido/2959,niijima,新島村 島外医療機関受診に係る交通費等助成,交通費1回往復4 000円（緊急ヘリ2 000円）／宿泊費1泊4 000円／証明書手数料500円/通／診断書手数料3 000円/通,ok,J
area/tokyo/higashimurayama/seido/2026,higashimurayama,住宅用地球温暖化対策設備設置費補助金,"太陽光発電または蓄電池いずれか一方 上限50,000円（家庭用燃料電池・断熱窓改修も対象）",ok,K
area/tokyo/higashimurayama/seido/1191,higashimurayama,住居確保給付金（家賃補助）,家賃相当額（住宅扶助基準額を上限、原則3か月・最大9か月）※金額表は公式ページ取得不可,fetch_failed,K
area/tokyo/higashimurayama/seido/1811,higashimurayama,帯状疱疹ワクチン予防接種費用助成,生ワクチンまたは不活化ワクチンいずれか一方を助成（生涯1回）※助成額は公式ページ取得不可,fetch_failed,K
area/tokyo/higashimurayama/seido/1205,higashimurayama,母子家庭等高等職業訓練促進給付金,"月額 非課税世帯100,000円／課税世帯70,500円",ok,K
area/tokyo/higashimurayama/seido/855,higashimurayama,義務教育就学児医療費助成制度,保険診療の自己負担分を助成（令和8年4月より通院1回200円の一部負担金撤廃、自己負担なし）,ok,K
area/tokyo/higashimurayama/seido/1204,higashimurayama,母子家庭等自立支援教育訓練給付金,受講料の60%（上限 修学年数×20万円、最大4年）,ok,K
area/tokyo/chiyoda/seido/2612,chiyoda,千代田区 住居確保給付金（家賃補助）,家賃相当額を一定期間支給（具体的金額はPDF参照、ページ記載なし）,no_amount,K
area/tokyo/chiyoda/seido/696,chiyoda,ひとり親家庭等の医療費助成,"課税者:自己負担3割のうち2割助成（自己負担1割）／非課税者:自己負担分全額助成。自己負担限度額 外来月18,000円・年144,000円／入院月57,600円（多数回44,400円）",ok,K
area/tokyo/chiyoda/seido/368,chiyoda,転入届,転入手続きのため金額なし,no_amount,K
area/tokyo/chiyoda/seido/2578,chiyoda,千代田区 心身障害者福祉手当（区の制度）,"月額 高額支給15,500円／低額支給10,500円",ok,K
area/tokyo/chiyoda/seido/127,chiyoda,こども・高校生等医療費助成制度,保険診療の窓口負担額を助成（自己負担割合等の具体的金額記載なし）,no_amount,K
area/tokyo/chuo/seido/576,chuo,転入届（本人または同じ世帯の方が手続きするとき）,転入手続きのため金額なし,no_amount,K
area/tokyo/chuo/seido/707,chuo,住居確保給付金,"家賃補助 月額 単身69,800円／2人75,000円／3人81,000円／4人86,000円",ok,K
area/tokyo/chuo/seido/2114,chuo,中央区家賃債務保証制度利用助成,保証料の2分の1（上限額記載なし）,ok,K
area/tokyo/mitaka/seido/990,mitaka,児童育成手当,"育成手当 月額13,500円／障害手当 月額15,500円",ok,K
area/tokyo/mitaka/seido/988,mitaka,三鷹市生活・就労支援窓口（住居確保給付金）,家賃相当額を支給（原則3か月・最大9か月、具体的金額記載なし）,no_amount,K
area/tokyo/mitaka/seido/995,mitaka,心身障害者医療費助成制度（マル障）,"課税者:医療費1割負担 外来月上限18,000円・年144,000円／入院含む月57,600円（多数回44,400円）、非課税者:一部負担なし",ok,K
area/tokyo/mitaka/seido/2106,mitaka,三鷹市居住支援（家賃債務保証会社の初回保証料助成等）,初回保証料の助成・少額短期保険料負担（具体的金額記載なし）,no_amount,K
area/tokyo/mitaka/seido/2727,mitaka,三鷹市 保育園の保育料無償化（第2子以降・多子世帯軽減）,"保育料 全児童無償（令和7年9月利用分以降、第1子含む）／給食費3～5歳児 月6,000円",ok,K
area/tokyo/mitaka/seido/804,mitaka,子どもの医療費助成制度（マル乳・マル子・マル青）,保険診療の自己負担分を全額助成（所得制限なし、18歳年度末まで、窓口負担なし）,ok,K
area/tokyo/mitaka/seido/991,mitaka,ひとり親家庭等医療費助成制度,課税世帯:自己負担1割に軽減／非課税世帯:自己負担分全額助成,ok,K
area/tokyo/musashino/seido/1096,musashino,むさしの食と暮らしの応援事業,"一人当たり5,000円分（バニラVisaギフトカード、世帯人数分を1枚にチャージ）",ok,K
area/tokyo/musashino/seido/1078,musashino,住居確保給付金（転居費用補助）,"転居費用一時金 上限 1人161,100円／2人192,000円／3～5人209,400円／6人225,000円／7人251,400円",ok,K
area/tokyo/musashino/seido/1087,musashino,ひとり親家庭等医療費助成制度,課税世帯:自己負担3割のうち2割助成（自己負担1割）／非課税世帯:自己負担分全額助成,ok,K
area/tokyo/musashino/seido/1089,musashino,母子家庭等高等職業訓練促進給付金,"月額 非課税世帯100,000円（最後の12月は140,000円）／課税世帯70,500円（最後の12月は110,500円）",ok,K
area/tokyo/musashino/seido/1088,musashino,母子家庭等自立支援教育訓練給付金,経費の60%（上限 通常講座20万円／専門実践教育訓練 修学年数×40万円・最大160万円、1万2千円以下不支給）,ok,K
area/tokyo/musashino/seido/1090,musashino,養育費確保支援事業補助金,"上限43,000円（公正証書・調停裁判・ADRいずれも）",ok,K
area/tokyo/musashino/seido/802,musashino,子どもの医療費助成制度（マル乳・マル子・マル青）,保険診療の自己負担分を助成（マル乳2割助成・マル子/マル青3割助成、窓口負担なし）,ok,K
area/tokyo/musashino/seido/1951,musashino,敬老祝品の配布・敬老福祉の集い・長寿祝品贈呈,現物給付（77歳以上に緑茶等、100歳以上に祝品）金額記載なし,no_amount,K
area/tokyo/musashino/seido/2726,musashino,武蔵野市 保育料の第二子無償化及び一部助成,認可保育施設 第2子以降の保育料無償（令和5年10月利用分より）,ok,K
area/tokyo/musashino/seido/1091,musashino,心身障害者医療費助成制度（マル障）,医療費（保険診療）の自己負担の一部を助成（具体的金額記載なし）,no_amount,K
area/tokyo/musashino/seido/1094,musashino,心身障害者福祉手当,"月額 20歳以上:15,500円（1・2級等）／11,000円（3・4級等）、20歳未満:11,000円",ok,K
area/tokyo/musashino/seido/1086,musashino,児童育成手当,"児童1人につき月額13,500円",ok,K
area/tokyo/itabashi/seido/713,itabashi,心身障がい者福祉手当,"月額 高額15,500円／低額7,750円",ok,K
area/tokyo/itabashi/seido/2621,itabashi,板橋区 住居確保給付金のご案内（家賃補助・転居費用）,家賃補助・転居費用補助（具体的金額記載なし）,no_amount,K
area/tokyo/itabashi/seido/2548,itabashi,板橋区 敬老祝品の贈呈,"88歳4,000円分／95歳5,000円分／101歳以上3,000円分（区内共通商品券）",ok,K
area/tokyo/itabashi/seido/171,itabashi,児童育成手当,"対象児童1人につき月額13,500円（育成手当）",ok,K
