program_id,fact_type,value,evidence_url
2138,benefit,高齢者の居住の安定と福祉向上を図る特別対策として家賃を助成する。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1002425.html
2138,condition,"月額5,000円以上70,000円以下の家賃を支払う、前年収入が生活保護基準の1.5倍以内、市税・後期高齢者医療保険料・介護保険料の滞納がない、他から家賃補助を受けていないこと。",https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1002425.html
2138,application,住宅賃貸借契約書・家賃の領収書・金融機関の口座番号等を持参し、高齢者支援係へ申請する。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1002425.html
2200,target,東京都特定不妊治療費（先進医療）助成の決定を受け、市内に引き続き住所を有し、他自治体から同種助成を受けていない方。,https://www.city.fussa.tokyo.jp/kofukunavi/1012668/1012967.html
2200,amount,1回の治療につき5万円を上限に助成する（東京都助成額を控除した先進医療費用に対して支給）。,https://www.city.fussa.tokyo.jp/kofukunavi/1012668/1012967.html
2200,benefit,保険診療の特定不妊治療と併せて実施した先進医療について医療費の一部を助成する。,https://www.city.fussa.tokyo.jp/kofukunavi/1012668/1012967.html
2200,condition,東京都の助成決定済み、市内住所の継続、他自治体助成なしの3要件をすべて満たすこと。,https://www.city.fussa.tokyo.jp/kofukunavi/1012668/1012967.html
2200,application,こども家庭センター（保健センター2階）へ申請書、東京都承認通知、受診証明書写し、領収書写し、振込先確認書類を提出する。,https://www.city.fussa.tokyo.jp/kofukunavi/1012668/1012967.html
2200,deadline,東京都特定不妊治療（先進医療）助成金の承認決定を受けた日から1年以内。,https://www.city.fussa.tokyo.jp/kofukunavi/1012668/1012967.html
2288,target,前年所得が一定基準以下の世帯、未就学児のいる世帯、非自発的失業者、産前産後の被保険者、旧被扶養者、災害等で損害を受けた世帯など。,https://www.city.fussa.tokyo.jp/life/procedure/insurance/1019113.html
2288,amount,低所得世帯は均等割額を7割・5割・2割軽減、未就学児は均等割2分の1減額、旧被扶養者は均等割5割軽減・所得割全額減免。,https://www.city.fussa.tokyo.jp/life/procedure/insurance/1019113.html
2288,benefit,所得に応じた均等割額の軽減、未就学児の均等割減額、非自発的失業者の所得軽減、産前産後期間の減額、旧被扶養者の減免、災害等による減免を行う。,https://www.city.fussa.tokyo.jp/life/procedure/insurance/1019113.html
2288,condition,均等割軽減は世帯主および全加入者の所得が確定していること。非自発的失業は離職時65歳未満で雇用保険の特定理由離職に該当することなど、制度ごとに要件がある。,https://www.city.fussa.tokyo.jp/life/procedure/insurance/1019113.html
2288,application,均等割軽減・未就学児減額は申請不要（自動適用）。非自発的失業・産前産後・旧被扶養者の減免は届出が必要。,https://www.city.fussa.tokyo.jp/life/procedure/insurance/1019113.html
2326,target,医療機関や薬局の窓口で支払った額がひと月の上限額を超えた国民健康保険加入者。限度額適用認定証は70歳未満は全員、70歳以上は条件付きで対象。,https://www.city.fussa.tokyo.jp/life/procedure/insurance/1001861.html
2326,benefit,自己負担限度額を超えた金額を高額療養費として支給。認定証の提示により窓口負担を限度額までに抑えられる。,https://www.city.fussa.tokyo.jp/life/procedure/insurance/1001861.html
2326,condition,国民健康保険税を完納していること。マイナ保険証の利用または限度額適用認定証の提示が必要。,https://www.city.fussa.tokyo.jp/life/procedure/insurance/1001861.html
2326,application,窓口または郵送で申請する。本人確認書類とマイナンバー確認書類を提出する。,https://www.city.fussa.tokyo.jp/life/procedure/insurance/1001861.html
2492,target,65歳以上で、一人暮らし等により買い物や調理が困難なため配食サービスが必要と認められる方。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1005608.html
2492,amount,利用者負担は1食につき400円（弁当と交換で配達員に支払う）。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1005608.html
2492,benefit,定期的に訪問して栄養バランスのとれた食事を提供し、あわせて安否確認を行う。普通食・健康ボリューム食・カロリー塩分調整食・やわらか食の4種類。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1005608.html
2492,condition,1週間に2回以内、月曜～土曜の昼食時に配達。市長が必要と認める場合に利用の可否を判定する。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1005608.html
2492,application,介護保険証を持参のうえ高齢者支援係へ申請する。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1005608.html
2525,target,65歳以上で一人暮らし等の高齢者かつ、慢性疾患があるなど常時注意を要する状態にある方。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1009792.html
2525,amount,利用者負担は月額594円（基本利用料の2割相当）。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1009792.html
2525,benefit,無線発報器等のボタンを押すと民間の受信センターへ自動通報され、24時間体制で救急車要請や安否確認の出動を行う。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1009792.html
2525,application,介護保険証を持参のうえ高齢者支援係へ申請する。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1009792.html
2558,target,当該年度の9月1日現在で77歳・88歳・100歳を迎える高齢者。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1002405.html
2558,amount,"100歳は敬老金30,000円、88歳は福生商品券10,000円、77歳は福生商品券5,000円。",https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1002405.html
2558,benefit,福生商品券（福生商品券協同組合発行）による記念品の贈呈、および100歳の方への敬老金の支給。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1002405.html
2558,application,申請は不要。9月1日以後に自宅へ届けられる（100歳の方は市長が届ける）。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1002405.html
2628,target,離職等により住居を失うおそれのある方。,https://www.city.fussa.tokyo.jp/life/health/welfare/1002349.html
2628,benefit,住居の喪失またはその危機にある方へ家賃相当分の給付金を支給する。支給期間は原則3か月。,https://www.city.fussa.tokyo.jp/life/health/welfare/1002349.html
2628,condition,離職後2年を経過していないこと、収入・資産等の要件を満たすこと。受給中は就職に向けた活動を行う。,https://www.city.fussa.tokyo.jp/life/health/welfare/1002349.html
2628,application,社会福祉課福祉総務係（市役所1階10番窓口）で相談のうえ申請する。,https://www.city.fussa.tokyo.jp/life/health/welfare/1002349.html
2678,target,65歳以上で住宅改修が必要と認められる方。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1002415.html
2678,amount,手すり等は上限20万円、浴槽改修等は上限37万9千円、流し・洗面台改修は上限15万6千円。費用の1割負担（市民税非課税者・生活保護受給者は無料）。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1002415.html
2678,benefit,手すり設置・段差解消・床材変更・扉取替え・便器取替え・浴槽改修・流し・洗面台改修等の工事費を給付する。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1002415.html
2678,condition,介護保険認定で要介護・要支援に該当する方は介護保険給付の対象となるため対象外。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1002415.html
2678,application,介護保険証を持参のうえ高齢者支援係へ申請。訪問調査・審査、見積書・図面の提出を経て決定する。,https://www.city.fussa.tokyo.jp/life/health/elderlypeople/1002415.html
2706,amount,"0～2歳児クラスは保育料月額80,000円まで、3～5歳児クラスは月額77,000円まで無償。入園料と保育料が対象。",https://www.city.fussa.tokyo.jp/life/child/nursery/1002589.html
2706,benefit,入園料と保育料が対象で、市が助成額を認証保育所へ直接支払い、利用者は差額のみ負担する。,https://www.city.fussa.tokyo.jp/life/child/nursery/1002589.html
2736,target,福生市民で、0～2歳児クラスに在園する児童。,https://www.city.fussa.tokyo.jp/life/child/nursery/1002585.html
2736,benefit,令和7年9月から0～2歳児クラスの保育料を第1子から全額無償化（東京都独自支援）。3～5歳児は令和元年10月から無償。,https://www.city.fussa.tokyo.jp/life/child/nursery/1002585.html
2736,condition,福生市民であること。多子計算に年齢制限はなく、生計を一にしている子どもが対象。,https://www.city.fussa.tokyo.jp/life/child/nursery/1002585.html
2818,target,身体障害者手帳1・2級および3級（下肢・体幹・内部機能障害）、愛の手帳1・2度、脳性麻痺または進行性筋萎縮症の方。施設入所者は除く。,https://www.city.fussa.tokyo.jp/life/health/shogai/1005277/1005280/1005259.html
2818,amount,"申請時期別に給付し、4～6月20,000円相当・7～9月15,000円相当・10～12月10,000円相当・1～3月5,000円相当。",https://www.city.fussa.tokyo.jp/life/health/shogai/1005277/1005280/1005259.html
2818,benefit,タクシー券またはガソリン券を支給。支給限度内で併給できる。,https://www.city.fussa.tokyo.jp/life/health/shogai/1005277/1005280/1005259.html
2818,condition,ガソリン券を希望する場合は自動車検査証が必要（本人または同居親族名義、営業車は除く）。,https://www.city.fussa.tokyo.jp/life/health/shogai/1005277/1005280/1005259.html
2907,target,国民健康保険に加入している方が出産した場合。妊娠85日以上が対象で、社会保険の資格喪失後6か月以内の出産も対象。,https://www.city.fussa.tokyo.jp/life/procedure/insurance/1001867.html
2907,amount,出生児1人につき50万円（産科医療補償制度未加入の医療機関等での出産は48万8千円）。,https://www.city.fussa.tokyo.jp/life/procedure/insurance/1001867.html
2907,benefit,出産時の経済的支援として一時金を支給。直接支払制度により市が医療機関へ直接支払うこともできる。,https://www.city.fussa.tokyo.jp/life/procedure/insurance/1001867.html
2907,condition,妊娠85日以上の出産であること。生産・死産・流産等の別は問わない。,https://www.city.fussa.tokyo.jp/life/procedure/insurance/1001867.html
2907,application,通常は直接支払制度を利用。受取代理制度は事前申請、その他の場合は出産後に申請する。,https://www.city.fussa.tokyo.jp/life/procedure/insurance/1001867.html
3034,target,福生市立小・中学校に通う全児童・生徒。,https://www.city.fussa.tokyo.jp/education/supply/1002754.html
3034,amount,"給食費全額を市が公費負担（参考：無償化前は小学校月5,300～5,900円、中学校月6,800円）。",https://www.city.fussa.tokyo.jp/education/supply/1002754.html
3034,benefit,令和6年4月から全児童・生徒の給食費全額を公費負担し、保護者負担を廃止する。,https://www.city.fussa.tokyo.jp/education/supply/1002754.html
3035,target,市内在住の50歳以上65歳未満の方（定期接種対象者を除く）。,https://www.city.fussa.tokyo.jp/life/health/medical/1018059.html
3035,amount,"生ワクチンは上限4,000円（1回まで）、不活化ワクチンは1回あたり上限10,000円（2回まで）。任意接種費用から定期接種の自己負担額を差し引いた額を上限まで助成。",https://www.city.fussa.tokyo.jp/life/health/medical/1018059.html
3035,benefit,帯状疱疹の発症予防と接種費用の負担軽減のため、任意予防接種費用の一部を助成する。,https://www.city.fussa.tokyo.jp/life/health/medical/1018059.html
3035,condition,令和12年3月31日までの接種が対象。接種費用を全額自己負担で支払い、不活化ワクチンは原則2回接種完了後にまとめて申請する。,https://www.city.fussa.tokyo.jp/life/health/medical/1018059.html
3035,application,福生市保健センターへ直接または郵送で、申請書兼請求書・領収書・本人確認書類・口座確認書類を提出する。,https://www.city.fussa.tokyo.jp/life/health/medical/1018059.html
3035,deadline,接種日から1年以内。,https://www.city.fussa.tokyo.jp/life/health/medical/1018059.html
